Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,xG,xGA,xGD,xGD/90,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester City,38,32,4,2,106,27,+79,100,86.4,22.8,+63.6,+1.67,54070,Sergio Agüero - 21,Ederson,→ UEFA Champions League grâce à sa bonne place dans le classement et victoire en League Cup
2,Manchester United,38,25,6,7,68,28,+40,81,60.7,41.7,+18.9,+0.50,74976,Romelu Lukaku - 16,David de Gea,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Tottenham Hotspur,38,23,8,7,74,36,+38,77,67.3,35.0,+32.3,+0.85,67953,Harry Kane - 30,Hugo Lloris,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Liverpool,38,21,12,5,84,38,+46,75,72.8,34.0,+38.8,+1.02,53049,Mohamed Salah - 32,Loris Karius Simon Mignolet,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Chelsea,38,21,7,10,62,38,+24,70,57.9,35.3,+22.7,+0.60,41282,Eden Hazard - 12,Thibaut Courtois,→ UEFA Europa League grâce à sa victoire en FA Cup
6,Arsenal,38,19,6,13,74,51,+23,63,68.4,50.5,+17.9,+0.47,59323,Alexandre Lacazette - 14,Petr Čech,→ UEFA Europa League grâce à sa bonne place dans le classement
7,Burnley,38,14,12,12,36,39,-3,54,34.5,51.8,-17.2,-0.45,20688,Chris Wood - 10,Nick Pope,→ UEFA Europa League grâce à sa bonne place dans le classement 2
8,Everton,38,13,10,15,44,58,-14,49,41.5,52.3,-10.9,-0.29,38797,Wayne Rooney - 10,Jordan Pickford,
9,Leicester City,38,12,11,15,56,60,-4,47,48.1,49.9,-1.8,-0.05,31583,Jamie Vardy - 20,Kasper Schmeichel,
10,Newcastle United,38,12,8,18,39,47,-8,44,45.3,53.4,-8.1,-0.21,51992,Ayoze Pérez - 8,Rob Elliot,
11,Crystal Palace,38,11,11,16,45,55,-10,44,56.1,50.6,+5.5,+0.14,25063,Luka Milivojević - 10,Wayne Hennessey,
12,Bournemouth,38,11,11,16,45,61,-16,44,44.8,61.4,-16.6,-0.44,10641,Joshua King / Callum Wilson - 8,Asmir Begović,
13,West Ham United,38,10,12,16,48,68,-20,42,39.8,59.3,-19.4,-0.51,56885,Marko Arnautović - 11,Joe Hart Adrián,
14,Watford,38,11,8,19,44,64,-20,41,47.4,57.9,-10.6,-0.28,20231,Abdoulaye Doucouré - 7,Heurelho Gomes,
15,Brighton & Hove Albion,38,9,13,16,34,54,-20,40,37.2,52.6,-15.5,-0.41,30403,Glenn Murray - 12,Mathew Ryan,
16,Huddersfield Town,38,9,10,19,28,58,-30,37,31.7,55.2,-23.5,-0.62,24040,Steve Mounié - 7,Jonas Lössl,
17,Southampton,38,7,15,16,37,56,-19,36,42.1,48.8,-6.7,-0.18,30794,Charlie Austin - 7,Fraser Forster,
18,Swansea City,38,8,9,21,28,56,-28,33,30.5,59.5,-29.0,-0.76,20623,Jordan Ayew - 7,Łukasz Fabiański,Relégué
19,Stoke City,38,7,12,19,35,68,-33,33,37.5,63.8,-26.2,-0.69,29280,Xherdan Shaqiri - 8,Jack Butland,Relégué
20,West Bromwich Albion,38,6,13,19,31,56,-25,31,34.4,48.5,-14.1,-0.37,24520,Jay Rodriguez / Salomón Rondón - 7,Ben Foster,Relégué
