Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,xG,xGA,xGD,xGD/90,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester City,38,27,5,6,83,32,+51,86,73.3,31.4,+42.0,+1.10,526,İlkay Gündoğan - 13,Ederson,→ UEFA Champions League grâce à sa bonne place dans le classement et victoire en League Cup
2,Manchester Utd,38,21,11,6,73,44,+29,74,60.2,42.2,+18.0,+0.47,526,Bruno Fernandes - 18,David de Gea,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Liverpool,38,20,9,9,68,42,+26,69,72.6,45.3,+27.3,+0.72,837,Mohamed Salah - 22,Alisson,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Chelsea,38,19,10,9,58,36,+22,67,64.0,32.8,+31.2,+0.82,526,Jorginho - 7,Edouard Mendy,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Leicester City,38,20,6,12,68,50,+18,66,56.0,47.7,+8.3,+0.22,421,Jamie Vardy - 15,Kasper Schmeichel,→ UEFA Europa League grâce à sa victoire en coupe et victoire en FA Cup
6,West Ham,38,19,8,11,62,47,+15,65,53.9,48.3,+5.6,+0.15,632,Tomáš Souček / Michail Antonio - 10,Łukasz Fabiański,→ UEFA Europa League grâce à sa bonne place dans le classement
7,Tottenham,38,18,8,12,68,45,+23,62,54.5,49.5,+5.0,+0.13,632,Harry Kane - 23,Hugo Lloris,→ UEFA Europa Conference League grâce à sa bonne place dans le classement 1
8,Arsenal,38,18,7,13,55,39,+16,61,53.5,44.3,+9.2,+0.24,632,Alexandre Lacazette - 13,Bernd Leno,
9,Leeds United,38,18,5,15,62,54,+8,59,57.5,62.9,-5.4,-0.14,421,Patrick Bamford - 17,Illan Meslier,
10,Everton,38,17,8,13,47,48,-1,59,47.1,52.0,-4.9,-0.13,368,Dominic Calvert-Lewin - 16,Jordan Pickford,
11,Aston Villa,38,16,7,15,55,46,+9,55,52.9,52.9,+0.1,0.00,526,Ollie Watkins - 14,Emiliano Martínez,
12,Newcastle Utd,38,12,9,17,46,62,-16,45,41.0,54.0,-13.0,-0.34,526,Callum Wilson - 12,Karl Darlow,
13,Wolves,38,12,9,17,36,52,-16,45,39.9,45.8,-6.0,-0.16,237,Rúben Neves / Pedro Neto - 5,Rui Patrício,
14,Crystal Palace,38,12,8,18,41,66,-25,44,32.4,57.5,-25.0,-0.66,447,Wilfried Zaha - 11,Vicente Guaita,
15,Southampton,38,12,7,19,47,68,-21,43,42.4,54.2,-11.8,-0.31,526,Danny Ings - 12,Alex McCarthy,
16,Brighton,38,9,14,15,40,46,-6,41,51.6,37.7,+13.9,+0.37,523,Neal Maupay - 8,Robert Sánchez,
17,Burnley,38,10,9,19,33,55,-22,39,39.9,57.6,-17.7,-0.47,178,Chris Wood - 12,Nick Pope,
18,Fulham,38,5,13,20,27,53,-26,28,41.3,52.9,-11.7,-0.31,211,Bobby Reid - 5,Alphonse Areola,Relégué
19,West Brom,38,5,11,22,35,76,-41,26,33.8,67.7,-34.0,-0.89,283,Matheus Pereira - 11,Sam Johnstone,Relégué
20,Sheffield Utd,38,7,2,29,20,63,-43,23,31.4,62.4,-31.0,-0.82,263,David McGoldrick - 8,Aaron Ramsdale,Relégué
