,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Percy Tau\4d0eb7d2,za RSA,ATMT,26,3,1,103,1.1,0,1,0,0,0,0,0,0.00,0.87,0.87,0.00,0.87,0.0,0.0,0.3,0.3,0.00,0.27,0.27,0.00,0.27,Matchs
Andi Zeqiri\d01231f0,ch SUI,ATDF,21,9,0,171,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.33,0.04,0.37,0.33,0.37,Matchs
José Izquierdo\ca2bc3df,co COL,DF,28,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.12,0.00,0.12,0.12,0.12,Matchs
Reda Khadra\88acf83f,de GER,AT,19,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Jayson Molumby\c908a1bc,ie IRL,MT,20,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Florin Andone\dc008610,ro ROU,AT,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Moisés Caicedo\16264a81,ec ECU,MT,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Teddy Jenks\a96ba40b,eng ENG,MT,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Michał Karbownik\1b280c66,pl POL,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Thomas Mcgill\4eb2d015,eng ENG,GB,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Max Sanders\4871d0e8,eng ENG,MT,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Jason Steele\28300a16,eng ENG,GB,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Dale Stephens\653ee42d,eng ENG,MT,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Christian Walton\c666574f,eng ENG,GB,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Jensen Weir\2ae8e967,sct SCO,MT,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,25.8,38,418,3420,38.0,39,24,33,6,9,49,6,1.03,0.63,1.66,0.87,1.50,51.6,44.8,33.0,77.8,1.36,0.87,2.23,1.18,2.05,
Total adversaire,,,26.4,38,418,3420,38.0,44,30,38,6,7,51,2,1.16,0.79,1.95,1.00,1.79,37.7,32.4,23.9,56.3,0.99,0.63,1.62,0.85,1.48,
