,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Rui Patrício\79b0d6a0,pt POR,GB,32,37,37,3329,37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Conor Coady\2928dca2,eng ENG,DF,27,37,37,3303,36.7,1,0,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,1.3,1.3,0.1,1.4,0.03,0.00,0.04,0.03,0.04,Matchs
Nélson Semedo\d04b94db,pt POR,DF,26,34,34,2983,33.1,1,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,1.9,1.9,1.1,3.0,0.06,0.03,0.09,0.06,0.09,Matchs
Rúben Neves\44bfb6c5,pt POR,MT,23,36,31,2675,29.7,5,1,2,3,3,8,0,0.17,0.03,0.20,0.07,0.10,5.1,2.9,2.1,5.0,0.17,0.07,0.24,0.10,0.17,Matchs
Pedro Neto\7ba2eaa9,pt POR,ATMT,20,31,30,2550,28.3,5,6,5,0,0,4,0,0.18,0.21,0.39,0.18,0.39,4.8,4.8,6.2,11.0,0.17,0.22,0.39,0.17,0.39,Matchs
Adama Traoré\9a28eba4,es ESP,AT,24,37,28,2649,29.4,2,2,2,0,0,4,0,0.07,0.07,0.14,0.07,0.14,2.2,2.2,5.4,7.7,0.08,0.18,0.26,0.08,0.26,Matchs
João Moutinho\f5a00fa4,pt POR,MT,33,33,28,2528,28.1,1,1,1,0,0,5,1,0.04,0.04,0.07,0.04,0.07,0.7,0.7,2.6,3.3,0.02,0.09,0.12,0.02,0.12,Matchs
Leander Dendoncker\5a7301ae,be BEL,MTDF,25,33,28,2503,27.8,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,3.3,3.3,0.7,4.0,0.12,0.03,0.14,0.12,0.14,Matchs
Romain Saïss\9fbbcf39,ma MAR,DF,30,27,27,2407,26.7,3,0,3,0,0,2,0,0.11,0.00,0.11,0.11,0.11,3.5,3.5,0.3,3.8,0.13,0.01,0.14,0.13,0.14,Matchs
Daniel Podence\7fcc71d8,pt POR,MTAT,24,24,22,1661,18.5,3,2,3,0,0,3,0,0.16,0.11,0.27,0.16,0.27,3.1,3.1,1.9,5.0,0.17,0.10,0.27,0.17,0.27,Matchs
Willy Boly\a4ac4b8f,ci CIV,DF,29,21,21,1879,20.9,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,1.1,1.1,0.4,1.6,0.05,0.02,0.07,0.05,0.07,Matchs
Rayan Aït Nouri\9b398aea,fr FRA,DF,19,21,16,1404,15.6,1,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,0.6,0.6,1.0,1.6,0.04,0.06,0.10,0.04,0.10,Matchs
Max Kilman\d0f72bf1,eng ENG,DF,23,18,14,1310,14.6,0,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.5,1.0,0.03,0.04,0.07,0.03,0.07,Matchs
Willian José\d87e2cae,br BRA,AT,28,17,12,1110,12.3,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,1.9,1.9,0.6,2.4,0.15,0.05,0.20,0.15,0.20,Matchs
Fábio Silva\e7aa9d7c,pt POR,AT,18,32,11,1369,15.2,4,3,3,1,1,2,0,0.26,0.20,0.46,0.20,0.39,6.0,5.3,0.5,5.8,0.40,0.04,0.43,0.35,0.38,Matchs
Raúl Jiménez\b561db50,mx MEX,AT,29,10,10,823,9.1,4,0,4,0,0,0,0,0.44,0.00,0.44,0.44,0.44,2.4,2.4,0.8,3.1,0.26,0.08,0.34,0.26,0.34,Matchs
Fernando Marçal\9ae9eaea,br BRA,DF,31,13,7,623,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.01,0.02,0.03,0.01,0.03,Matchs
Jonny Castro\e28868f3,es ESP,DF,26,7,7,495,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matchs
