Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ADEY, George	Wing ",, , , , ,	
,"ARCHER, Arthur	Full ",, , , , ,	
,"ASTON, Jack	Inside ",, , , , , , , ,	
,"ATHERSMITH,",, ,C,h,a,r,l,i,e,	,W,i,n,g,e,r,	
,"BEER, Billy	Wing ",, , , , ,	
,"BENNETT,",, ,B,i,l,l,y,	,W,i,n,g,e,r,	
,"BUNCH, Walter	Full ",, , , , ,	
,"DOUGHERTY, Jim	Wing ",, , , , ,	
,"FIELD, Charles ",      	Winger
,"GOLDIE, Archie	Full ",, , , , ,	
,"HARTWELL, Ambrose	Centre ",, , , , ,	
,"HIGGINSON, Jack	Inside ",, , , , , , , ,	
,"JONES, Billy	Centre ",, , , , , , , ,	
,"LEAKE, Alex	Centre ",, , , , ,	
,"LEONARD, Arthur	Inside ",, , , , , , , ,	
,"MCMILLAN, Johnny	Inside ",, , , , , , , ,	
,"MCROBERTS, Bobby	Centre ",, , , , , , , ,	
,"MURRAY, Jimmy	Inside ",, , , , , , , ,	
,"PENTLAND,",, ,F,r,e,d,	,W,i,n,g,e,r,	
,"PRATT, Billy	Full ",, , , , ,	
,"ROBINSON,",, ,N,a,t,	,G,o,a,l,k,e,e,p,e,r,	
,"TEBBS,",, ,J,o,h,n,	,W,i,n,g,e,r,	
,"WALTON, Billy	Wing ",, , , , ,	
,"WASSELL, Harry	Full ",, , , , ,	
,"WHARTON,",, ,S,i,d,	,W,i,n,g,e,r,	
,"WIGMORE, Walter	Centre ",, , , , ,	
