Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ADAMSON, Tommy	Full ",, , , , ,	
,"AMOS,",, ,W,a,l,l,y,	,W,i,n,g,e,r,	
,"BALL, Jack	Inside ",, , , , , , , ,	
,"BRADSHAW, George	Full ",, , , , ,	
,"BRADSHAW, Tom	Central ",, , , , , , , , ,	
,"BULLOCK, Norman	Centre ",, , , , , , , ,	
,"CHAMBERS,",, ,J,i,m,m,y,	,W,i,n,g,e,r,	
,"CHESTER, Tommy	Full ",, , , , ,	
,"CRAWFORD,",, ,J,o,h,n,	,W,i,n,g,e,r,	
,"CURRY, Luke	Wing ",, , , , ,	
,"DAVIN, Martin	Inside ",, , , , , , , ,	
,"DUTTON, Harry	Wing ",, , , , ,	
,"FINNEY, Arthur	Central ",, , , , , , , , ,	
,"GALE,",, ,A,r,t,h,u,r,	,W,i,n,g,e,r,	
,"HACKETT,",, ,C,h,r,i,s,	,W,i,n,g,e,r,	
,"HARRISON,",, ,B,i,l,l,y,	,G,o,a,l,k,e,e,p,e,r,	
,"HEAP, Fred	Full ",, , , , ,	
,"HILLHOUSE, John	Wing ",, , , , ,	
,"KIRBY,",, ,N,o,r,m,a,n,	,W,i,n,g,e,r,	
,"MORAN, John	Inside ",, , , , , , , ,	
,"PORTER, Jimmy	Wing ",, , , , ,	
,"PRATT, David	Wing ",, , , , ,	
,"RICHARDSON,",, ,B,i,l,l,y,	,G,o,a,l,k,e,e,p,e,r,	
,"ROBBIE,",, ,D,a,v,i,d,	,W,i,n,g,e,r,	
,"ROBERTSON, Tommy	Full ",, , , , ,	
,"ROBINSON, Alick	Wing ",, , , , ,	
,"SMITH, Fred	Full ",, , , , ,	
,"SMITH, John	Centre ",, , , , , , , ,	
,"VERNON, Les	Centre ",, , , , , , , ,	
,"WALLBANKS, Fred	Full ",, , , , ,	
