-- League --	--- FA Cup ---	---- Other ----

1983/84
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ARMSTRONG, Ken 	Central Defender	10	0	0	0	0	0	0	0	0
										
BENJAMIN, Tristan 	Central Defender	15	0	0	2	0	0	3	0	0
										
CHIEDOZIE, John 	Winger	39+1	9	0	5	2	0	6	1	0
										
CHRISTIE, Trevor 	Forward	36+3	19	6	5	2	1	6	4	0
										
CLARKE, David 	Full Back	18+2	0	0	4	0	0	0+1	0	0
										
DAVIS, Darren 	Central Defender	1	0	0	0	0	0	0	0	0
										
FASHANU, Justin 	Forward	17	5	0	0	0	0	4	1	0
										
GOODWIN, Mark 	Midfielder	27+2	0	0	2+1	0	0	6	0	0
										
HARKOUK, Rachid 	Forward	27+5	6	1	4	1	0	5	1	0
										
HODSON, Simeon 	Full Back	13	0	0	0	0	0	0	0	0
										
HUNT, David 	Midfielder	39	2	0	5	0	0	5	2	0
										
JONES, Mark 	Central Defender	0+2	0	0	0	0	0	0	0	0
										
KILCLINE, Brian 	Central Defender	24	1	0	5	2	0	3	1	0
										
LAHTINEN, Aki 	Central Defender	6	0	0	1	0	0	0	0	0
										
LEONARD, Mick 	Goalkeeper	18	0	0	3	0	0	0	0	0
										
MAIR, Gordon 	Winger	15+2	0	0	0	0	0	1	0	0
										
MCCULLOCH, Iain 	Winger	20+2	0	0	4+1	1	0	0	0	0
										
MCDONAGH, Jim 'Seamus' 	Goalkeeper	24	0	0	2	0	0	6	0	0
										
MCPARLAND, Ian 	Forward	15+6	2	1	1+1	0	0	1+2	0	0
										
O'NEILL, Martin 	Midfielder	37+1	4	0	5	0	0	6	1	0
										
RICHARDS, Pedro 	Full Back	33+1	1	0	5	0	0	5	0	0
										
ROEDER, Glenn 	Central Defender	4	0	0	0	0	0	3	0	0
										
WORTHINGTON, Nigel 	Full Back	24	1	0	2	0	0	6	0	0
