Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BERRY, Alf	Inside ",, , , , , , , ,	
,"CHORLTON, Gilbert	Wing ",, , , , ,	
,"DEWHURST, Jack	Centre ",, , , , ,	
,"DOW, Billy	Centre ",, , , , , , , ,	
,"HODGKINSON, Joe	Inside ",, , , , , , , ,	
,"HULMES, Sam	Full ",, , , , ,	
,"HUMPHREYS, Billy	Wing ",, , , , ,	
,"JOHNSTON, John	Wing ",, , , , ,	
,"KAY, Tom	Inside ",, , , , , , , ,	
,"KILBOURNE, Amos	Inside ",, , , , , , , ,	
,"LEEMING, Joe	Full ",, , , , ,	
,"LINDSAY, Jimmy	Full ",, , , , ,	
,"MONTEITH,",, ,H,u,g,h,	,G,o,a,l,k,e,e,p,e,r,	
,"MULLINEUX, Ernie	Full ",, , , , ,	
,"MURPHY,",, ,E,d,d,i,e,	,W,i,n,g,e,r,	
,"PLANT,",, ,J,a,c,k,	,W,i,n,g,e,r,	
,"RICHARDS,",, ,B,i,l,l,y,	,W,i,n,g,e,r,	
,"ROSS, George	Wing ",, , , , ,	
,"SIMPSON, Tommy	Centre ",, , , , , , , ,	
,"SLATER, Percy	Full ",, , , , ,	
,"SWANN, Herbert	Centre ",, , , , , , , ,	
,"THORPE, Frank	Centre ",, , , , ,	
,"WARBURTON, Fred	Inside ",, , , , , , , ,	
,"WILLIAMS, Jack	Centre ",, , , , , , , ,	
,"WOLSTENHOLME,",, ,J,o,h,n,	,G,o,a,l,k,e,e,p,e,r,	
