Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BADDELEY,",, ,T,o,m,	,G,o,a,l,k,e,e,p,e,r,	
,"BAYNHAM,",, ,A,l,b,e,r,t,	,W,i,n,g,e,r,	
,"BETTELEY, Dick	Full ",, , , , ,	
,"BEVIN, Bert	Inside ",, , , , , , , ,	
,"BOON, Reggie	Centre ",, , , , , , , ,	
,"BRAWN,",, ,C,h,a,r,l,e,s,	,W,i,n,g,e,r,	
,"BREAKWELL,",, ,A,r,t,h,u,r,	,W,i,n,g,e,r,	
,"CORFIELD, Sam	Centre ",, , , , ,	
,"GOODALL, Archie	Centre ",, , , , ,	
,"GORMAN, John	Inside ",, , , , , , , ,	
,"HENSHALL, Albert	Inside ",, , , , , , , ,	
,"HOPKINS,",, ,J,a,c,k,	,W,i,n,g,e,r,	
,"HUGHES, Harry	Wing ",, , , , ,	
,"JAMES, Jack	Wing ",, , , , ,	
,"JONES, Jackery	Full ",, , , , ,	
,"JUGGINS, Eli	Full ",, , , , ,	
,"LAYTON, Billy	Inside ",, , , , , , , ,	
,"LLOYD, Arthur	Wing ",, , , , ,	
,"LUNN,",, ,T,o,m,m,y,	,G,o,a,l,k,e,e,p,e,r,	
,"PEDLEY,",, ,J,a,c,k,	,W,i,n,g,e,r,	
,"POPE, Frankie	Inside ",, , , , , , , ,	
,"RADFORD, Wally	Inside ",, , , , , , , ,	
,"RAYBOULD, Tom	Wing ",, , , , ,	
,"SMITH, John	Inside ",, , , , , , , ,	
,"STANLEY, Jack	Full ",, , , , ,	
,"WHITEHOUSE, Ben	Inside ",, , , , , , , ,	
,"WHITEHOUSE, Jack	Wing ",, , , , ,	
,"WILKES, George	Inside ",, , , , , , , ,	
,"WILLIAMS, George	Wing ",, , , , ,	
,"WILLIAMS,",, ,W,a,l,t,e,r,	,W,i,n,g,e,r,	
,"WOOLDRIDGE, Billy	Centre ",, , , , , , , ,	
