-- League --	--- FA Cup ---	---- Other ----

1972/73
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BOERSMA, Phil 	Midfielder	19	7	0	0+1	0	0	7+4	6	0
										
CALLAGHAN, Ian 	Winger	42	3	0	4	0	0	20	1	0
										
CLEMENCE, Ray 	Goalkeeper	41	0	0	4	0	0	19	0	0
										
CORMACK, Peter 	Midfielder	30	8	0	4	1	0	18	1	0
										
GORE, Tommy 	Midfielder	0	0	0	0	0	0	0	0	0
										
HALL, Brian 	Midfielder	17+4	2	0	0	0	0	5+5	1	0
										
HEIGHWAY, Steve 	Winger	38	6	0	4	0	0	20	4	0
										
HUGHES, Emlyn 	Central Defender	41	7	0	4	0	0	20	5	0
										
KEEGAN, Kevin 	Forward	41	13	2	4	0	0	19	9	0
										
LANE, Frank 	Goalkeeper	1	0	0	0	0	0	1	0	0
										
LAWLER, Chris 	Full Back	42	3	0	4	0	0	20	1	0
										
LINDSAY, Alec 	Full Back	37	4	0	4	0	0	18	1	0
										
LLOYD, Larry 	Central Defender	42	2	0	4	0	0	20	1	0
										
MAGUIRE, Tommy 	Midfielder	0	0	0	0	0	0	0	0	0
										
SHARROCK, Tony 	Goalkeeper	0	0	0	0	0	0	0	0	0
										
SMITH, Tommy 	Central Defender	33	2	1	2	0	0	14	1	1
										
STORTON, Trevor 	Central Defender	4	0	0	0	0	0	5+1	0	0
										
THOMPSON, Phil 	Central Defender	12+2	0	0	2	0	0	2+2	0	0
										
TOSHACK, John 	Forward	22	13	0	4	2	0	12+2	2	0
										
TYNAN, Tommy 	Forward	0	0	0	0	0	0	0	0	0
										
WHITHAM, Jack 	Forward	0	0	0	0	0	0	0+1	0	0
										
