Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BAUGH, Dicky	Full ",, , , , ,	
,"BINGHAM,",, ,H,a,r,r,y,	,W,i,n,g,e,r,	
,"BLAIR, Jimmy	Full ",, , , , ,	
,"CLENNELL, Joe	Inside ",, , , , , , , ,	
,"COLLINS,",, ,E,l,v,e,t,	,W,i,n,g,e,r,	
,"DAVIES, Len	Inside ",, , , , , , , ,	
,"EVANS, Herbie	Wing ",, , , , ,	
,"EVANS,",, ,J,a,c,k,	,W,i,n,g,e,r,	
,"FARQUHARSON,",, ,T,o,m,	,G,o,a,l,k,e,e,p,e,r,	
,"GILL, Jimmy	Inside ",, , , , , , , ,	
,"GRIMSHAW,",, ,B,i,l,l,y,	,W,i,n,g,e,r,	
,"HAGAN, Alfie	Inside ",, , , , , , , ,	
,"HARDY, Billy	Wing ",, , , , ,	
,"JAMES,",, ,A,l,f,r,e,d,	,W,i,n,g,e,r,	
,"JENKINS, Eddie	Wing ",, , , , ,	
,"JONES, Jimmy	Centre ",, , , , , , , ,	
,"KEENOR, Fred	Central ",, , , , , , , , ,	
,"KNEESHAW,",, ,J,a,c,k,	,G,o,a,l,k,e,e,p,e,r,	
,"LAWSON,",, ,D,e,n,i,s,	,W,i,n,g,e,r,	
,"MCKENZIE, Kenneth	Centre ",, , , , ,	
,"MCLAUGHLAN,",, ,B,o,b,	,W,i,n,g,e,r,	
,"NELSON, Jimmy	Full ",, , , , ,	
,"PAGE, Jack	Full ",, , , , ,	
,"ROBB,",, ,W,i,l,l,i,e,	,G,o,a,l,k,e,e,p,e,r,	
,"SMITH, Bert	Centre ",, , , , ,	
,"TAYLOR,",, ,B,i,l,l,y,	,W,i,n,g,e,r,	
,"WAKE, Harry	Wing ",, , , , 
