-- League --,--- FA Cup ---,---- Other ----
1985/86
Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen

,"BIRTLES, Garry ",Forward,24+1,0,0,2,2,0,3,0,0
,"BOWYER, Ian ",Midfielder,25+1,3,0,2,0,0,0,0,0
,"BUTTERWORTH, Ian ",Central Defender,22+1,0,0,1,0,0,3,0,0
,"CAMPBELL, David ",Midfielder,14+4,3,0,0,0,0,1,2,0
,"CARR, Franz ",Winger,23,3,0,0,0,0,1+1,1,0
,"CLOUGH, Nigel ",Forward,37+2,15,2,2,0,0,4,3,0
,"DAVENPORT, Peter ",Forward,27,13,3,2,0,0,4,1,0
,"FLEMING, Gary ",Full Back,16,0,0,0,0,0,0,0,0
,"GEMMILL, Archie ",Midfielder,0,0,0,0,0,0,0,0,0
,"HODGE, Steve ",Midfielder,2,0,0,0,0,0,0,0,0
,"MCINALLY, Jim ",Full Back,12,0,0,0,0,0,1,0,0
,"METGOD, Johnny ",Midfielder,37+2,6,0,2,0,0,4,1,0
,"MILLS, Gary ",Midfielder,13+1,0,0,1,0,0,3,0,0
,"MURRAY, Steven ",Midfielder,0,0,0,0,0,0,0,0,0
,"PALIN, Leigh ",Midfielder,0,0,0,0,0,0,0,0,0
,"PEARCE, Stuart ",Full Back,30,1,0,0,0,0,4,0,0
,"PERRY, Mick ",Forward,0,0,0,0,0,0,0,0,0
,"RICE, Brian ",Winger,19,3,0,0,0,0,3,2,0
,"ROBERTSON, John ",Winger,10+1,0,0,1,0,0,0,0,0
,"SEGERS, Hans ",Goalkeeper,11,0,0,0,0,0,1,0,0
,"SUTTON, Steve ",Goalkeeper,31,0,0,2,0,0,3,0,0
,"WALKER, Des ",Central Defender,36+3,0,0,2,0,0,2,0,0
,"WALSH, Colin ",Winger,16+4,6,0,1+1,1,0,1+1,0,0
,"WEBB, Neil ",Midfielder,38,14,0,2,0,0,4,0,0
,"WIGLEY, Steve ",Winger,8,0,0,0,0,0,2,0,0
,"WILLIAMS, Brett ",Full Back,11,0,0,2,0,0,0,0,0
