Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BURRELL,",, ,G,e,o,r,g,e,	,W,i,n,g,e,r,	
,"COMMON, Alf	Inside ",, , , , , , , ,	
,"CRAWFORD,",, ,S,i,d,n,e,y,	,G,o,a,l,k,e,e,p,e,r,	
,"DEVINE, Archie	Inside ",, , , , , , , ,	
,"DUNCAN,",, ,D,a,v,i,d,	,W,i,n,g,e,r,	
,"EVANS, Robert	Full ",, , , , ,	
,"FIDLER, Joe	Full ",, , , , ,	
,"FLANAGAN, Pat	Inside ",, , , , , , , ,	
,"FORD, George	Full ",, , , , ,	
,"GRAHAM, Alex	Centre ",, , , , ,	
,"GRANT, George	Wing ",, , , , ,	
,"GREENAWAY,",, ,D,a,v,i,d,	,W,i,n,g,e,r,	
,"GROVES,",, ,F,r,e,d,d,i,e,	,W,i,n,g,e,r,	
,"HANKS, Ernest	Centre ",, , , , , , , ,	
,"KING, Eddie	Wing ",, , , , ,	
,"KNIGHT,",, ,B,e,r,t,r,a,m,	,W,i,n,g,e,r,	
,"LEWIS,",, ,C,h,a,r,l,i,e,	,W,i,n,g,e,r,	
,"MACDONALD,",, ,H,u,g,h,	,G,o,a,l,k,e,e,p,e,r,	
,"MACEACHRANE, Roddy	Wing ",, , , , ,	
,"MCKINNON, Angus	Wing ",, , , , ,	
,"MCLAUGHLAN, Joseph	Centre ",, , , , , , , ,	
,"PAYNE, George	Inside ",, , , , , , , ,	
,"PEART, John	Full ",, , , , ,	
,"RANDALL, Charles	Inside ",, , , , , , , ,	
,"SANDS, Percy	Centre ",, , , , ,	
,"SHAW, Joe	Full ",, , , , ,	
,"SPITTLE, Billy	Inside ",, , , , , , , ,	
,"STONLEY, Stephen	Centre ",, , , , , , , ,	
,"THOMSON, Matt	Centre ",, , , , ,	
,"WILSON,",, ,O,l,i,v,e,r,	,G,o,a,l,k,e,e,p,e,r,	
,"WINSHIP, Thomas ",    	Winger
