Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Arsenal,38,22,10,6,73,36,2.02777777777778,+37,76,35595,,,League Champions and Excluded from the UEFA Champions League
2,Liverpool,38,22,10,6,65,28,2.32142857142857,+37,76,38574,,,Excluded from the UEFA Cup Winners` Cup and FA Cup winners
3,Nottingham Forest,38,17,13,8,64,43,1.48837209302326,+21,64,20785,,,Excluded from the UEFA Europa League
4,Norwich City,38,17,11,10,48,45,1.06666666666667,+3,62,16785,,,Excluded from the UEFA Europa League
5,Derby County,38,17,7,14,40,38,1.05263157894737,+2,58,17535,,,
6,Tottenham Hotspur,38,15,12,11,60,46,1.30434782608696,+14,57,24467,,,
7,Coventry City,38,14,13,11,47,42,1.11904761904762,+5,55,16040,,,
8,Everton,38,14,12,12,50,45,1.11111111111111,+5,54,27787,,,
9,Queens Park Rangers,38,14,11,13,43,37,1.16216216216216,+6,53,12281,,,
10,Millwall,38,14,11,13,47,52,0.903846153846154,-5,53,15416,,,
11,Manchester United,38,13,12,13,45,35,1.28571428571429,+10,51,36488,,,
12,Wimbledon,38,14,9,15,50,46,1.08695652173913,+4,51,7824,,,
13,Southampton,38,10,15,13,52,66,0.787878787878788,-14,45,15590,,,
14,Charlton Athletic,38,10,12,16,44,58,0.758620689655172,-14,42,9398,,,
15,Sheffield Wednesday,38,10,12,16,34,51,0.666666666666667,-17,42,20036,,,
16,Luton Town,38,10,11,17,42,52,0.807692307692308,-10,41,9504,,,
17,Aston Villa,38,9,13,16,45,56,0.803571428571429,-11,40,23310,,,
18,Middlesbrough,38,9,12,17,44,61,0.721311475409836,-17,39,19999,,,Relegated
19,West Ham United,38,10,8,20,37,62,0.596774193548387,-25,38,20738,,,Relegated
20,Newcastle United,38,7,10,21,32,63,0.507936507936508,-31,31,22921,,,Relegated
