Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Arsenal,42,25,9,8,75,47,1.596,28,59,,"BASTIN, Cliff/BOWDEN, Ray -13","MOSS, Frank",League Champions
2,Huddersfield Town,42,23,10,9,90,61,1.475,29,56,,,,
3,Tottenham Hotspur,42,21,7,14,79,56,1.411,23,49,,,,
4,Derby County,42,17,11,14,68,54,1.259,14,45,18666,,,
5,Manchester City,42,17,11,14,65,72,0.903,-7,45,30058,,,FA Cup Winners
6,Sunderland,42,16,12,14,81,56,1.446,25,44,18269,,,
7,West Bromwich Albion,42,17,10,15,78,70,1.114,8,44,21488,,,
8,Blackburn Rovers,42,18,7,17,74,81,0.914,-7,43,14005,,,
9,Leeds United,42,17,8,17,75,66,1.136,9,42,,,,
10,Portsmouth,42,15,12,15,52,55,0.945,-3,42,,,,
11,Sheffield Wednesday,42,16,9,17,62,67,0.925,-5,41,16019,,,
12,Stoke City,42,15,11,16,58,71,0.817,-13,41,23087,,,
13,Aston Villa,42,14,12,16,78,75,1.040,3,40,30557,"ASTLEY, Dai - 25","MORTON, Harry ",
14,Everton,42,12,16,14,62,63,0.984,-1,40,27160,,,
15,Wolverhampton Wanderers,42,14,12,16,74,86,0.860,-12,40,24681,,,
16,Middlesbrough,42,16,7,19,68,80,0.850,-12,39,12634,,,
17,Leicester City,42,14,11,17,59,74,0.797,-15,39,,,,
18,Liverpool,42,14,10,18,79,87,0.908,-8,38,29429,,,
19,Chelsea,42,14,8,20,67,69,0.971,-2,36,,,,
20,Birmingham City,42,12,12,18,54,56,0.964,-2,36,24718,,,
21,Newcastle United,42,10,14,18,68,77,0.883,-9,34,24142,,,Relegated
22,Sheffield United,42,12,7,23,58,101,0.574,-43,31,15901,,,Relegated
