Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Manchester United,42,23,11,8,95,52,1.827,43,57,,,,League Champions
2,Tottenham Hotspur,42,22,9,11,76,51,1.490,25,53,,,,
3,Arsenal,42,21,11,10,80,61,1.311,19,53,,,,
4,Portsmouth,42,20,8,14,68,58,1.172,10,48,,,,
5,Bolton Wanderers,42,19,10,13,65,61,1.066,4,48,,,,
6,Aston Villa,42,19,9,14,79,70,1.129,9,47,,,,
7,Preston North End,42,17,12,13,74,54,1.370,20,46,,,,
8,Newcastle United,42,18,9,15,98,73,1.342,25,45,,,,FA Cup winners
9,Blackpool,42,18,9,15,64,64,1.000,0,45,,,,
10,Charlton Athletic,42,17,10,15,68,63,1.079,5,44,,,,
11,Liverpool,42,12,19,11,57,61,0.934,-4,43,,,,
12,Sunderland,42,15,12,15,70,61,1.148,9,42,,,,
13,West Bromwich Albion,42,14,13,15,74,77,0.961,-3,41,,,,
14,Burnley,42,15,10,17,56,63,0.889,-7,40,,,,
15,Manchester City,42,13,13,16,58,61,0.951,-3,39,,,,
16,Wolverhampton Wanderers,42,12,14,16,73,73,1.000,0,38,,,,
17,Derby County,42,15,7,20,63,80,0.788,-17,37,,,,
18,Middlesbrough,42,15,6,21,64,88,0.727,-24,36,,,,
19,Chelsea,42,14,8,20,52,72,0.722,-20,36,,,,
20,Stoke City,42,12,7,23,49,88,0.557,-39,31,,,,
21,Huddersfield Town,42,10,8,24,49,82,0.598,-33,28,,,,Relegated
22,Fulham,42,8,11,23,58,77,0.753,-19,27,,,,Relegated
