Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Arsenal,42,21,12,9,97,64,1.516,33,54,,"LISHMAN, Doug - 22","KELSEY, Jack",League Champions
2,Preston North End,42,21,12,9,85,60,1.417,25,54,30586,,,
3,Wolverhampton Wanderers,42,19,13,10,86,63,1.365,23,51,36608,,,
4,West Bromwich Albion,42,21,8,13,66,60,1.100,6,50,32701,,,
5,Charlton Athletic,42,19,11,12,77,63,1.222,14,49,,,,
6,Burnley,42,18,12,12,67,52,1.288,15,48,28480,,,
7,Blackpool,42,19,9,14,71,70,1.014,1,47,,,,FA Cup winners
8,Manchester United,42,18,10,14,69,72,0.958,-3,46,37571,,,
9,Sunderland,42,15,13,14,68,82,0.829,-14,43,39767,,,
10,Tottenham Hotspur,42,15,11,16,78,69,1.130,9,41,,,,
11,Aston Villa,42,14,13,15,63,61,1.033,2,41,32189,"DIXON, Johnny - 13","PARSONS, Dennis ",
12,Cardiff City,42,14,12,16,54,46,1.174,8,40,,,,
13,Middlesbrough,42,14,11,17,70,77,0.909,-7,39,,,,
14,Bolton Wanderers,42,15,9,18,61,69,0.884,-8,39,32066,,,
15,Portsmouth,42,14,10,18,74,83,0.892,-9,38,,,,
16,Newcastle United,42,14,9,19,59,70,0.843,-11,37,,,,
17,Liverpool,42,14,8,20,61,82,0.744,-21,36,,,,
18,Sheffield Wednesday,42,12,11,19,62,72,0.861,-10,35,42530,,,
19,Chelsea,42,12,11,19,56,66,0.848,-10,35,,,,
20,Manchester City,42,14,7,21,72,87,0.828,-15,35,,,,
21,Stoke City,42,12,10,20,53,66,0.803,-13,34,27883,,,Relegated
22,Derby County,42,11,10,21,59,74,0.797,-15,32,21627,,,Relegated
