Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Huddersfield Town,42,23,11,8,92,60,1.533,+32,57,,,,League Champions
2,Arsenal,42,22,8,12,87,63,1.381,+24,52,31471,,,
3,Sunderland,42,21,6,15,96,80,1.200,+16,48,21399,,,
4,Bury,42,20,7,15,85,77,1.104,+8,47,,,,
5,Sheffield United,42,19,8,15,102,82,1.244,+20,46,19149,,,
6,Aston Villa,42,16,12,14,86,76,1.132,+10,44,26496,,,
7,Liverpool,42,14,16,12,70,63,1.111,+7,44,27240,,,
8,Bolton Wanderers,42,17,10,15,75,76,0.987,-1,44,20437,,,FA Cup Winners
9,Manchester United,42,19,6,17,66,73,0.904,-7,44,27647,,,
10,Newcastle United,42,16,10,16,84,75,1.120,+9,42,29957,,,
11,Everton,42,12,18,12,72,70,1.029,+2,42,26876,,,
12,Blackburn Rovers,42,15,11,16,91,80,1.138,+11,41,17775,,,
13,West Bromwich Albion,42,16,8,18,79,78,1.013,+1,40,19860,,,
14,Birmingham City,42,16,8,18,66,81,0.815,-15,40,21649,,,
15,Tottenham Hotspur,42,15,9,18,66,79,0.835,-13,39,,,,
16,Cardiff City,42,16,7,19,61,76,0.803,-15,39,,,,
17,Leicester City,42,14,10,18,70,80,0.875,-10,38,24692,,,
18,West Ham United,42,15,7,20,63,76,0.829,-13,37,,,,
19,Leeds United,42,14,8,20,64,76,0.842,-12,36,,,,
20,Burnley,42,13,10,19,85,108,0.787,-23,36,17857,,,
21,Manchester City,42,12,11,19,89,100,0.890,-11,35,31614,,,Relegated
22,Notts County,42,13,7,22,54,74,0.730,-20,33,,,,Relegated
