Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Liverpool,42,25,10,7,72,42,1.714,+30,60,48127,,,League Champions and qualified for UEFA Champions League
2,Arsenal,42,23,11,8,57,43,1.326,+14,57,,,,
3,Leeds United,42,21,11,10,71,45,1.578,+26,53,,,,qualified for UEFA Europa League
4,Ipswich Town,42,17,14,11,55,45,1.222,+10,48,,,,qualified for UEFA Europa League
5,Wolverhampton Wanderers,42,18,11,13,66,54,1.222,+12,47,24418,,,qualified for UEFA Europa League
6,West Ham United,42,17,12,13,67,53,1.264,+14,46,,,,
7,Derby County,42,19,8,15,56,54,1.037,+2,46,29766,,,
8,Tottenham Hotspur,42,16,13,13,58,48,1.208,+10,45,,,,qualified for UEFA Europa League 
9,Newcastle United,42,16,13,13,60,51,1.176,+9,45,,,,
10,Birmingham City,42,15,12,15,53,54,0.981,-1,42,36663,,,
11,Manchester City,42,15,11,16,57,60,0.950,-3,41,,,,
12,Chelsea,42,13,14,15,49,51,0.961,-2,40,,,,
13,Southampton,42,11,18,13,47,52,0.904,-5,40,,,,
14,Sheffield United,42,15,10,17,51,59,0.864,-8,40,23509,,,
15,Stoke City,42,14,10,18,61,56,1.089,+5,38,23800,,,
16,Leicester City,42,10,17,15,40,46,0.870,-6,37,,,,
17,Everton,42,13,11,18,41,49,0.837,-8,37,34471,,,
18,Manchester United,42,12,13,17,44,60,0.733,-16,37,48623,,,
19,Coventry City,42,13,9,20,40,55,0.727,-15,35,,,,
20,Norwich City,42,11,10,21,36,63,0.571,-27,32,,,,
21,Crystal Palace,42,9,12,21,41,58,0.707,-17,30,,,,Relegated
22,West Bromwich Albion,42,9,10,23,38,62,0.613,-24,28,22340,,,Relegated
