Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Arsenal,42,25,8,9,118,61,1.934,57,58,,"BASTIN, Cliff - 33","MOSS, Frank ",League Champions
2,Aston Villa,42,23,8,11,92,67,1.373,25,54,32249,"BROWN, George - 33","MORTON, Harry ",
3,Sheffield Wednesday,42,21,9,12,80,68,1.176,12,51,16704,,,
4,West Bromwich Albion,42,20,9,13,83,70,1.186,13,49,24247,,,
5,Newcastle United,42,22,5,15,71,63,1.127,8,49,25992,,,
6,Huddersfield Town,42,18,11,13,66,53,1.245,13,47,,,,
7,Derby County,42,15,14,13,76,69,1.101,7,44,15047,,,
8,Leeds United,42,15,14,13,59,62,0.952,-3,44,,,,
9,Portsmouth,42,18,7,17,74,76,0.974,-2,43,,,,
10,Sheffield United,42,17,9,16,74,80,0.925,-6,43,14296,,,
11,Everton,42,16,9,17,81,74,1.095,7,41,26414,,,FA Cup Winners
12,Sunderland,42,15,10,17,63,80,0.788,-17,40,17254,,,
13,Birmingham City,42,14,11,17,57,57,1.000,0,39,20044,,,
14,Liverpool,42,14,11,17,79,84,0.940,-5,39,23382,,,
15,Blackburn Rovers,42,14,10,18,76,102,0.745,-26,38,12944,,,
16,Manchester City,42,16,5,21,68,71,0.958,-3,37,24254,,,
17,Middlesbrough,42,14,9,19,63,73,0.863,-10,37,,,,
18,Chelsea,42,14,7,21,63,73,0.863,-10,35,,,,
19,Leicester City,42,11,13,18,75,89,0.843,-14,35,,,,
20,Wolverhampton Wanderers,42,13,9,20,80,96,0.833,-16,35,27104,,,
21,Bolton Wanderers,42,12,9,21,78,92,0.848,-14,33,13203,,,Relegated
22,Blackpool,42,14,5,23,69,85,0.812,-16,33,,,,Relegated
