Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Everton,42,26,4,12,116,64,1.813,52,56,35454,,,League Champions
2,Arsenal,42,22,10,10,90,48,1.875,42,54,40547,"LAMBERT, Jack - 22","MOSS, Frank",
3,Sheffield Wednesday,42,22,6,14,96,82,1.171,14,50,16906,,,
4,Huddersfield Town,42,19,10,13,80,63,1.270,17,48,13010,,,
5,Aston Villa,42,19,8,15,104,72,1.444,32,46,31509,"WARING, Tom 'Pongo' - 30","MORTON, Harry ",
6,West Bromwich Albion,42,20,6,16,77,55,1.400,22,46,25404,,,
7,Sheffield United,42,20,6,16,80,75,1.067,5,46,20795,,,
8,Portsmouth,42,19,7,16,62,62,1.000,0,45,,,,
9,Birmingham City,42,18,8,16,78,67,1.164,11,44,23380,,,
10,Liverpool,42,19,6,17,81,93,0.871,-12,44,22742,,,
11,Newcastle United,42,18,6,18,80,87,0.920,-7,42,30366,,,FA Cup Winners
12,Chelsea,42,16,8,18,69,73,0.945,-4,40,32230,,,
13,Sunderland,42,15,10,17,67,73,0.918,-6,40,23131,,,
14,Manchester City,42,13,12,17,83,73,1.137,10,38,24173,,,
15,Derby County,42,14,10,18,71,75,0.947,-4,38,13142,,,
16,Blackburn Rovers,42,16,6,20,89,95,0.937,-6,38,13176,,,
17,Bolton Wanderers,42,17,4,21,72,80,0.900,-8,38,15843,,,
18,Middlesbrough,42,15,8,19,64,89,0.719,-25,38,13890,,,
19,Leicester City,42,15,7,20,74,94,0.787,-20,37,16241,,,
20,Blackpool,42,12,9,21,65,102,0.637,-37,33,,,,
21,Grimsby Town,42,13,6,23,67,98,0.684,-31,32,11968,,,Relegated
22,West Ham United,42,12,7,23,62,107,0.579,-45,31,19239,,,Relegated
