Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Arsenal,38,24,13,1,74,18,4.11111111111111,+56,83,,,,League Champions and Qualification for the UEFA Champions League
2,Liverpool,38,23,7,8,77,40,1.925,+37,76,,,,Qualification for the UEFA Europa League
3,Crystal Palace,38,20,9,9,50,41,1.21951219512195,+9,69,,,,
4,Leeds United,38,19,7,12,65,47,1.38297872340426,+18,64,,,,
5,Manchester City,38,17,11,10,64,53,1.20754716981132,+11,62,,,,
6,Manchester United,38,16,12,10,58,45,1.28888888888889,+13,59,,,,Qualification for the UEFA Cup Winners` Cup
7,Wimbledon,38,14,14,10,53,46,1.15217391304348,+7,56,,,,
8,Nottingham Forest,38,14,12,12,65,50,1.3,+15,54,,,,
9,Everton,38,13,12,13,50,46,1.08695652173913,+4,51,25127,,,
10,Tottenham Hotspur,38,11,16,11,51,50,1.02,+1,49,,,,Qualification for the UEFA Cup Winners` Cup and FA Cup winners
11,Chelsea,38,13,10,15,58,69,0.840579710144927,-11,49,,,,
12,Queens Park Rangers,38,12,10,16,44,53,0.830188679245283,-9,46,,,,
13,Sheffield United,38,13,7,18,36,55,0.654545454545455,-19,46,,,,
14,Southampton,38,12,9,17,58,69,0.840579710144927,-11,45,,,,
15,Norwich City,38,13,6,19,41,64,0.640625,-23,45,,,,
16,Coventry City,38,11,11,16,42,49,0.857142857142857,-7,44,,,,
17,Aston Villa,38,9,14,15,46,58,0.793103448275862,-12,41,25663,,,
18,Luton Town,38,10,7,21,42,61,0.688524590163934,-19,37,,,,
19,Sunderland,38,8,10,20,38,60,0.633333333333333,-22,34,22577,,,Relegated
20,Derby County,38,5,9,24,37,75,0.493333333333333,-38,24,16257,,,Relegated
