Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Liverpool,40,26,12,2,87,24,3.625,+63,90,39582,,,League Champions and Excluded from the UEFA Champions League
2,Manchester United,40,23,12,5,71,38,1.86842105263158,+33,81,39152,,,Excluded from the UEFA Europa League
3,Nottingham Forest,40,20,13,7,67,39,1.71794871794872,+28,73,19670,,,
4,Everton,40,19,13,8,53,27,1.96296296296296,+26,70,27782,,,
5,Queens Park Rangers,40,19,10,11,48,38,1.26315789473684,+10,67,,,,
6,Arsenal,40,18,12,10,58,39,1.48717948717949,+19,66,28116,,,
7,Wimbledon,40,14,15,11,58,47,1.23404255319149,+11,57,,,,Excluded from the UEFA Cup Winners` Cup and FA Cup winners
8,Newcastle United,40,14,14,12,55,53,1.0377358490566,+2,56,21059,,,
9,Luton Town,40,14,11,15,57,58,0.982758620689655,-1,53,,,,Excluded from the UEFA Europa League
10,Coventry City,40,13,14,13,46,53,0.867924528301887,-7,53,,,,
11,Sheffield Wednesday,40,15,8,17,52,66,0.787878787878788,-14,53,19796,,,
12,Southampton,40,12,14,14,49,53,0.924528301886793,-4,50,,,,
13,Tottenham Hotspur,40,12,11,17,38,48,0.791666666666667,-10,47,25921,,,
14,Norwich City,40,12,9,19,40,52,0.769230769230769,-12,45,,,,
15,Derby County,40,10,13,17,35,45,0.777777777777778,-10,43,17158,,,
16,West Ham United,40,9,15,16,40,52,0.769230769230769,-12,42,19802,,,
17,Charlton Athletic,40,9,15,16,38,52,0.730769230769231,-14,42,8685,,,
18,Chelsea,40,9,15,16,50,68,0.735294117647059,-18,42,20118,,,Relegated
19,Portsmouth,40,7,14,19,36,66,0.545454545454545,-30,35,15923,,,Relegated
20,Watford,40,7,11,22,27,51,0.529411764705882,-24,32,,,,Relegated
21,Oxford United,40,6,13,21,44,80,0.55,-36,31,,,,Relegated
