Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Manchester United,42,28,8,6,103,54,1.907,49,64,,,,League Champions qualified for UEFA Champions League
2,Tottenham Hotspur,42,22,12,8,104,56,1.857,48,56,,,,
3,Preston North End,42,23,10,9,84,56,1.500,28,56,23522,,,
4,Blackpool,42,22,9,11,93,65,1.431,28,53,,,,
5,Arsenal,42,21,8,13,85,69,1.232,16,50,,"TAPSCOTT, Derek - 25","KELSEY, Jack ",
6,Wolverhampton Wanderers,42,20,8,14,94,70,1.343,24,48,,,,
7,Burnley,42,18,10,14,56,50,1.120,6,46,,,,
8,Leeds United,42,15,14,13,72,63,1.143,9,44,,,,
9,Bolton Wanderers,42,16,12,14,65,65,1.000,0,44,,,,
10,Aston Villa,42,14,15,13,65,55,1.182,10,43,,"SEWELL, Jackie - 17","SIMS, Nigel ",FA Cup winners
11,West Bromwich Albion,42,14,14,14,59,61,0.967,-2,42,23676,,,
12,Birmingham City,42,15,9,18,69,69,1.000,0,39,,,,Participated in Inter-Cities Fairs Cup
13,Chelsea,42,13,13,16,73,73,1.000,0,39,,,,
14,Sheffield Wednesday,42,16,6,20,82,88,0.932,-6,38,,,,
15,Everton,42,14,10,18,61,79,0.772,-18,38,,,,
16,Luton Town,42,14,9,19,58,76,0.763,-18,37,,,,
17,Newcastle United,42,14,8,20,67,87,0.770,-20,36,,,,
18,Manchester City,42,13,9,20,78,88,0.886,-10,35,,,,
19,Portsmouth,42,10,13,19,62,92,0.674,-30,33,,,,
20,Sunderland,42,12,8,22,67,88,0.761,-21,32,,,,
21,Cardiff City,42,10,9,23,53,88,0.602,-35,29,,,,Relegated
22,Charlton Athletic,42,9,4,29,62,120,0.517,-58,22,,,,Relegated
