Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Aston Villa,42,26,8,8,72,40,1.8,+32,60,,,,League Champions and Qualification for the European Cup first round
2,Ipswich Town,42,23,10,9,77,43,1.7906976744186,+34,56,,,,Qualification for the UEFA Cup
3,Arsenal,42,19,15,8,61,45,1.35555555555556,+16,53,,,,Qualification for the UEFA Cup
4,West Bromwich Albion,42,20,12,10,60,42,1.42857142857143,+18,52,,,,Qualification for the UEFA Cup
5,Liverpool,42,17,17,8,62,42,1.47619047619048,+20,51,,,,Qualification for the European Cup first round
6,Southampton,42,20,10,12,76,56,1.35714285714286,+20,50,,,,Qualification for the UEFA Cup
7,Nottingham Forest,42,19,12,11,62,44,1.40909090909091,+18,50,,,,
8,Manchester United,42,15,18,9,51,36,1.41666666666667,+15,48,,,,
9,Leeds United,42,17,10,15,39,47,0.829787234042553,-8,44,,,,
10,Tottenham Hotspur,42,14,15,13,70,68,1.02941176470588,+2,43,,,,Qualification for the European Cup Winners` Cup first round
11,Stoke City,42,12,18,12,51,60,0.85,-9,42,,,,
12,Manchester City,42,14,11,17,56,59,0.949152542372881,-3,39,,,,
13,Birmingham City,42,13,12,17,50,61,0.819672131147541,-11,38,,,,
14,Middlesbrough,42,16,5,21,53,61,0.868852459016393,-8,37,,,,
15,Everton,42,13,10,19,55,58,0.948275862068966,-3,36,,,,
16,Coventry City,42,13,10,19,48,68,0.705882352941176,-20,36,,,,
17,Sunderland,42,14,7,21,52,53,0.981132075471698,-1,35,,,,
18,Wolverhampton Wanderers,42,13,9,20,43,55,0.781818181818182,-12,35,,,,
19,Brighton & Hove Albion,42,14,7,21,54,67,0.805970149253731,-13,35,,,,
20,Norwich City,42,13,7,22,49,73,0.671232876712329,-24,33,,,,Relegation to the Second Division
21,Leicester City,42,13,6,23,40,67,0.597014925373134,-27,32,,,,Relegation to the Second Division
22,Crystal Palace,42,6,7,29,47,83,0.566265060240964,-36,19,,,,Relegation to the Second Division
