Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Liverpool,42,23,14,5,66,31,2.129,+35,60,,,,League Champions and qualified for UEFA Champions League
2,Queens Park Rangers,42,24,11,7,67,33,2.030,+34,59,,,,qualified for UEFA Europa League
3,Manchester United,42,23,10,9,68,42,1.619,+26,56,54750,,,qualified for UEFA Europa League
4,Derby County,42,21,11,10,75,58,1.293,+17,53,28350,,,qualified for UEFA Europa League
5,Leeds United,42,21,9,12,65,46,1.413,+19,51,,,,
6,Ipswich Town,42,16,14,12,54,48,1.125,+6,46,,,,
7,Leicester City,42,13,19,10,48,51,0.941,-3,45,,,,
8,Manchester City,42,16,11,15,64,46,1.391,+18,43,,,,League Cup winners and qualified for UEFA Europa League
9,Tottenham Hotspur,42,14,15,13,63,63,1.000,+0,43,,,,
10,Norwich City,42,16,10,16,58,58,1.000,+0,42,,,,
11,Everton,42,15,12,15,60,66,0.909,-6,42,27115,,,
12,Stoke City,42,15,11,16,48,50,0.960,-2,41,22314,,,
13,Middlesbrough,42,15,10,17,46,45,1.022,+1,40,,,,
14,Coventry City,42,13,14,15,47,57,0.825,-10,40,,,,
15,Newcastle United,42,15,9,18,71,62,1.145,+9,39,,,,
16,Aston Villa,42,11,17,14,51,59,0.864,-8,39,38874,,,
17,Arsenal,42,13,10,19,47,53,0.887,-6,36,,,,
18,West Ham United,42,13,10,19,48,71,0.676,-23,36,,,,
19,Birmingham City,42,13,7,22,57,75,0.760,-18,33,,,,
20,Wolverhampton Wanderers,42,10,10,22,51,68,0.750,-17,30,22951,,,Relegated
21,Burnley,42,9,10,23,43,66,0.652,-23,28,18120,,,Relegated
22,Sheffield United,42,6,10,26,33,82,0.402,-49,22,23549,,,Relegated
