Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Sunderland,42,25,6,11,109,74,1.473,35,56,,,,League Champions
2,Derby County,42,18,12,12,61,52,1.173,9,48,20932,,,
3,Huddersfield Town,42,18,12,12,59,56,1.054,3,48,,,,
4,Stoke City,42,20,7,15,57,57,1.000,0,47,,,,
5,Brentford,42,17,12,13,81,60,1.350,21,46,,,,
6,Arsenal,42,15,15,12,78,48,1.625,30,45,,"DRAKE, Ted - 24","WILSON, Alex",
7,Preston North End,42,18,8,16,67,64,1.047,3,44,19511,,,
8,Chelsea,42,15,13,14,65,72,0.903,-7,43,,,,
9,Manchester City,42,17,8,17,68,60,1.133,8,42,,,,
10,Portsmouth,42,17,8,17,54,67,0.806,-13,42,,,,
11,Leeds United,42,15,11,16,66,64,1.031,2,41,,,,
12,Birmingham City,42,15,11,16,61,63,0.968,-2,41,,,,
13,Bolton Wanderers,42,14,13,15,67,76,0.882,-9,41,26868,,,
14,Middlesbrough,42,15,10,17,84,70,1.200,14,40,,,,
15,Wolverhampton Wanderers,42,15,10,17,77,76,1.013,1,40,24824,,,
16,Everton,42,13,13,16,89,89,1.000,0,39,29118,,,
17,Grimsby Town,42,17,5,20,65,73,0.890,-8,39,,,,
18,West Bromwich Albion,42,16,6,20,89,88,1.011,1,38,24616,,,
19,Liverpool,42,13,12,17,60,64,0.938,-4,38,,,,
20,Sheffield Wednesday,42,13,12,17,63,77,0.818,-14,38,,,,
21,Aston Villa,42,13,9,20,81,110,0.736,-29,35,40864,"ASTLEY, Dai - 21","MORTON, Harry",Relegated
22,Blackburn Rovers,42,12,9,21,55,96,0.573,-41,33,,,,Relegated
