Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Leeds United,42,24,14,4,66,31,2.129,+35,62,,,,League Champions and qualified for UEFA Champions League
2,Liverpool,42,22,13,7,52,31,1.677,+21,57,42332,,,FA Cup winners and qualified for UEFA Cup Winners` Cup
3,Derby County,42,17,14,11,52,42,1.238,+10,48,27788,,,qualified for UEFA Europa League
4,Ipswich Town,42,18,11,13,67,58,1.155,+9,47,,,,qualified for UEFA Europa League
5,Stoke City,42,15,16,11,54,42,1.286,+12,46,21587,,,qualified for UEFA Europa League
6,Burnley,42,16,14,12,56,53,1.057,+3,46,20670,,,
7,Everton,42,16,12,14,50,48,1.042,+2,44,35351,,,
8,Queens Park Rangers,42,13,17,12,56,52,1.077,+4,43,,,,
9,Leicester City,42,13,16,13,51,41,1.244,+10,42,,,,
10,Arsenal,42,14,14,14,49,51,0.961,-2,42,,,,
11,Tottenham Hotspur,42,14,14,14,45,50,0.900,-5,42,,,,
12,Wolverhampton Wanderers,42,13,15,14,49,49,1.000,+0,41,25609,,,League Cup winners and qualified for UEFA Europa League
13,Sheffield United,42,14,12,16,44,49,0.898,-5,40,22917,,,
14,Manchester City,42,14,12,16,39,46,0.848,-7,40,,,,
15,Newcastle United,42,13,12,17,49,48,1.021,+1,38,,,,
16,Coventry City,42,14,10,18,43,54,0.796,-11,38,,,,
17,Chelsea,42,12,13,17,56,60,0.933,-4,37,,,,
18,West Ham United,42,11,15,16,55,60,0.917,-5,37,,,,
19,Birmingham City,42,12,13,17,52,64,0.813,-12,37,33048,,,
20,Southampton,42,11,14,17,47,68,0.691,-21,36,,,,Relegated
21,Manchester United,42,10,12,20,38,48,0.792,-10,32,42712,,,Relegated
22,Norwich City,42,7,15,20,37,62,0.597,-25,29,,,,Relegated
