Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Everton,42,26,8,8,76,31,2.45161290322581,+45,86,32977,,,League Champions and Excluded from the UEFA Champions League
2,Liverpool,42,23,8,11,72,42,1.71428571428571,+30,77,,,,Excluded from the UEFA Europa League
3,Tottenham Hotspur,42,21,8,13,68,43,1.58139534883721,+25,71,,,,Excluded from the UEFA Europa League
4,Arsenal,42,20,10,12,58,35,1.65714285714286,+23,70,,,,Excluded from the UEFA Europa League
5,Norwich City,42,17,17,8,53,51,1.03921568627451,+2,68,,,,
6,Wimbledon,42,19,9,14,57,50,1.14,+7,66,,,,
7,Luton Town,42,18,12,12,47,45,1.04444444444444,+2,66,,,,
8,Nottingham Forest,42,18,11,13,64,51,1.25490196078431,+13,65,19086,,,
9,Watford,42,18,9,15,67,54,1.24074074074074,+13,63,,,,
10,Coventry City,42,17,12,13,50,45,1.11111111111111,+5,63,,,,Excluded from the UEFA Cup Winners` Cup and FA Cup winners
11,Manchester United,42,14,14,14,52,45,1.15555555555556,+7,56,,,,
12,Southampton,42,14,10,18,69,68,1.01470588235294,+1,52,,,,
13,Sheffield Wednesday,42,13,13,16,58,59,0.983050847457627,-1,52,23172,,,
14,Chelsea,42,13,13,16,53,64,0.828125,-11,52,,,,
15,West Ham United,42,14,10,18,52,67,0.776119402985075,-15,52,,,,
16,Queens Park Rangers,42,13,11,18,48,64,0.75,-16,50,,,,
17,Newcastle United,42,12,11,19,47,65,0.723076923076923,-18,47,,,,
18,Oxford United,42,11,13,18,44,69,0.63768115942029,-25,46,,,,
19,Charlton Athletic,42,11,11,20,45,55,0.818181818181818,-10,44,,,,
20,Leicester City,42,11,9,22,54,76,0.710526315789474,-22,42,,,,Relegated
21,Manchester City,42,8,15,19,36,57,0.631578947368421,-21,39,,,,Relegated
22,Aston Villa,42,8,12,22,45,79,0.569620253164557,-34,36,18172,,,Relegated
