Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Everton,42,25,11,6,84,42,2.000,+42,61,51460,,,League Champions and qualified for UEFA Champions League and participated in Inter-Cities Fairs Cup
2,Tottenham Hotspur,42,23,9,10,111,62,1.790,+49,55,,,,UEFA Cup Winners` Cup
3,Burnley,42,22,10,10,78,57,1.368,+21,54,,,,
4,Leicester City,42,20,12,10,79,53,1.491,+26,52,,,,
5,Wolverhampton Wanderers,42,20,10,12,93,65,1.431,+28,50,25803,,,
6,Sheffield Wednesday,42,19,10,13,77,63,1.222,+14,48,,,,
7,Arsenal,42,18,10,14,86,77,1.117,+9,46,,,,
8,Liverpool,42,17,10,15,71,59,1.203,+12,44,,,,
9,Nottingham Forest,42,17,10,15,67,69,0.971,-2,44,,,,
10,Sheffield United,42,16,12,14,58,60,0.967,-2,44,,,,
11,Blackburn Rovers,42,15,12,15,79,71,1.113,+8,42,,,,
12,West Ham United,42,14,12,16,73,69,1.058,+4,40,,,,
13,Blackpool,42,13,14,15,58,64,0.906,-6,40,,,,
14,West Bromwich Albion,42,16,7,19,71,79,0.899,-8,39,19547,,,
15,Aston Villa,42,15,8,19,62,68,0.912,-6,38,31014,,,
16,Fulham,42,14,10,18,50,71,0.704,-21,38,,,,
17,Ipswich Town,42,12,11,19,59,78,0.756,-19,35,,,,
18,Bolton Wanderers,42,15,5,22,55,75,0.733,-20,35,19406,,,
19,Manchester United,42,12,10,20,67,81,0.827,-14,34,,,,FA Cup winners and qualified for UEFA Cup Winners` Cup 
20,Birmingham City,42,10,13,19,63,90,0.700,-27,33,,,,League Cup Winners
21,Manchester City,42,10,11,21,58,102,0.569,-44,31,,,,Relegated
22,Leyton Orient,42,6,9,27,37,81,0.457,-44,21,,,,Relegated
