Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Liverpool,42,26,9,7,79,34,2.324,+45,61,,,,League Champions and qualified for UEFA Champions League
2,Leeds United,42,23,9,10,79,38,2.079,+41,55,,,,Participated in Inter-Cities Fairs Cup
3,Burnley,42,24,7,11,79,47,1.681,+32,55,,,,
4,Manchester United,42,18,15,9,84,59,1.424,+25,51,,,,
5,Chelsea,42,22,7,13,65,53,1.226,+12,51,,,,Participated in Inter-Cities Fairs Cup
6,West Bromwich Albion,42,19,12,11,91,69,1.319,+22,50,20496,,,League Cup winners
7,Leicester City,42,21,7,14,80,65,1.231,+15,49,,,,
8,Tottenham Hotspur,42,16,12,14,75,66,1.136,+9,44,,,,
9,Sheffield United,42,16,11,15,56,59,0.949,-3,43,,,,
10,Stoke City,42,15,12,15,65,64,1.016,+1,42,,,,
11,Everton,42,15,11,16,56,62,0.903,-6,41,38498,,,Participated in Inter-Cities Fairs Cup and FA Cup winners and qualified for UEFA Cup Winners` Cup
12,West Ham United,42,15,9,18,70,83,0.843,-13,39,,,,
13,Blackpool,42,14,9,19,55,65,0.846,-10,37,,,,
14,Arsenal,42,12,13,17,62,75,0.827,-13,37,,,,
15,Newcastle United,42,14,9,19,50,63,0.794,-13,37,,,,
16,Aston Villa,42,15,6,21,69,80,0.863,-11,36,21063,,,
17,Sheffield Wednesday,42,14,8,20,56,66,0.848,-10,36,,,,
18,Nottingham Forest,42,14,8,20,56,72,0.778,-16,36,,,,
19,Sunderland,42,14,8,20,51,72,0.708,-21,36,,,,
20,Fulham,42,14,7,21,67,85,0.788,-18,35,,,,
21,Northampton Town,42,10,13,19,55,92,0.598,-37,33,,,,Relegated
22,Blackburn Rovers,42,8,4,30,57,88,0.648,-31,20,,,,Relegated
