Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Nottingham Forest,42,25,14,3,69,24,2.875,+45,64,,,,League Champions and qualified for the UEFA Champions League
2,Liverpool,42,24,9,9,65,34,1.91176470588235,+31,57,,,,qualified for the UEFA Champions League
3,Everton,42,22,11,9,76,45,1.68888888888889,+31,55,39513,,,qualified for the UEFA Europa League
4,Manchester City,42,20,12,10,74,51,1.45098039215686,+23,52,,,,qualified for the UEFA Europa League
5,Arsenal,42,21,10,11,60,37,1.62162162162162,+23,52,,,,qualified for the UEFA Europa League
6,West Bromwich Albion,42,18,14,10,62,53,1.16981132075472,+9,50,24521,,,qualified for the UEFA Europa League
7,Coventry City,42,18,12,12,75,62,1.20967741935484,+13,48,,,,
8,Aston Villa,42,18,10,14,57,42,1.35714285714286,+15,46,35464,,,
9,Leeds United,42,18,10,14,63,53,1.18867924528302,+10,46,,,,
10,Manchester United,42,16,10,16,67,63,1.06349206349206,+4,42,,,,
11,Birmingham City,42,16,9,17,55,60,0.916666666666667,-5,41,,,,
12,Derby County,42,14,13,15,54,59,0.915254237288135,-5,41,23345,,,
13,Norwich City,42,11,18,13,52,66,0.787878787878788,-14,40,,,,
14,Middlesbrough,42,12,15,15,42,54,0.777777777777778,-12,39,,,,
15,Wolverhampton Wanderers,42,12,12,18,51,64,0.796875,-13,36,22311,,,
16,Chelsea,42,11,14,17,46,69,0.666666666666667,-23,36,,,,
17,Bristol City,42,11,13,18,49,53,0.924528301886793,-4,35,,,,
18,Ipswich Town,42,11,13,18,47,61,0.770491803278688,-14,35,,,,qualified for the UEFA Cup Winners` Cup and FA Cup winners
19,Queens Park Rangers,42,9,15,18,47,64,0.734375,-17,33,,,,
20,West Ham United,42,12,8,22,52,69,0.753623188405797,-17,32,,,,Relegated
21,Newcastle United,42,6,10,26,42,78,0.538461538461538,-36,22,,,,Relegated
22,Leicester City,42,5,12,25,26,70,0.371428571428571,-44,22,,,,Relegated
