Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Manchester United,42,26,9,7,89,39,2.282,+50,61,,,,Participated in Inter-Cities Fairs Cup and League Champions and qualified for UEFA Champions League
2,Leeds United,42,26,9,7,83,52,1.596,+31,61,,,,
3,Chelsea,42,24,8,10,89,54,1.648,+35,56,,,,League Cup Winners
4,Everton,42,17,15,10,69,60,1.150,+9,49,42062,,,Participated in Inter-Cities Fairs Cup
5,Nottingham Forest,42,17,13,12,71,67,1.060,+4,47,27426,,,
6,Tottenham Hotspur,42,19,7,16,87,71,1.225,+16,45,,,,
7,Liverpool,42,17,10,15,67,73,0.918,-6,44,,,,FA Cup winners and qualified for UEFA Cup Winners` Cup
8,Sheffield Wednesday,42,16,11,15,57,55,1.036,+2,43,,,,
9,West Ham United,42,19,4,19,82,71,1.155,+11,42,,,, UEFA Cup Winners` Cup
10,Blackburn Rovers,42,16,10,16,83,79,1.051,+4,42,16110,,,
11,Stoke City,42,16,10,16,67,66,1.015,+1,42,25787,,,
12,Burnley,42,16,10,16,70,70,1.000,+0,42,15739,,,
13,Arsenal,42,17,7,18,69,75,0.920,-6,41,,,,
14,West Bromwich Albion,42,13,13,16,70,65,1.077,+5,39,20453,,,
15,Sunderland,42,14,9,19,64,74,0.865,-10,37,40637,,,
16,Aston Villa,42,16,5,21,57,82,0.695,-25,37,22215,,,
17,Blackpool,42,12,11,19,67,78,0.859,-11,35,,,,
18,Leicester City,42,11,13,18,69,85,0.812,-16,35,,,,
19,Sheffield United,42,12,11,19,50,64,0.781,-14,35,,,,
20,Fulham,42,11,12,19,60,78,0.769,-18,34,,,,
21,Wolverhampton Wanderers,42,13,4,25,59,89,0.663,-30,30,21499,,,Relegated
22,Birmingham City,42,8,11,23,64,96,0.667,-32,27,,,,Relegated
