Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Liverpool,42,26,10,6,89,37,2.40540540540541,+52,88,35271,,,League Champions and Excluded from the UEFA Champions League and FA Cup winners
2,Everton,42,26,8,8,87,41,2.1219512195122,+46,86,32388,,,Excluded from the UEFA Cup Winners` Cup
3,West Ham United,42,26,6,10,74,40,1.85,+34,84,21179,,,Excluded from the UEFA Europa League 
4,Manchester United,42,22,10,10,70,36,1.94444444444444,+34,76,46321,,,Excluded from the UEFA Europa League 
5,Sheffield Wednesday,42,21,10,11,63,54,1.16666666666667,+9,73,23101,,,Excluded from the UEFA Europa League
6,Chelsea,42,20,11,11,57,56,1.01785714285714,+1,71,21985,,,
7,Arsenal,42,20,9,13,49,47,1.04255319148936,+2,69,23824,,,
8,Nottingham Forest,42,19,11,12,69,53,1.30188679245283,+16,68,16809,,,
9,Luton Town,42,18,12,12,61,44,1.38636363636364,+17,66,11062,,,
10,Tottenham Hotspur,42,19,8,15,74,52,1.42307692307692,+22,65,20859,,,
11,Newcastle United,42,17,12,13,67,72,0.930555555555556,-5,63,23434,,,
12,Watford,42,16,11,15,69,62,1.11290322580645,+7,59,15360,,,
13,Queens Park Rangers,42,15,7,20,53,64,0.828125,-11,52,12808,,,
14,Southampton,42,12,10,20,51,62,0.82258064516129,-11,46,14877,,,
15,Manchester City,42,11,12,19,43,57,0.754385964912281,-14,45,24229,,,
16,Aston Villa,42,10,14,18,51,67,0.761194029850746,-16,44,15237,,,
17,Coventry City,42,11,10,21,48,71,0.676056338028169,-23,43,11590,,,
18,Oxford United,42,10,12,20,62,80,0.775,-18,42,11009,,,Excluded from the UEFA Europa League and League Cup Winners
19,Leicester City,42,10,12,20,54,76,0.710526315789474,-22,42,11793,,,
20,Ipswich Town,42,11,8,23,32,55,0.581818181818182,-23,41,14469,,,Relegated
21,Birmingham City,42,8,5,29,30,73,0.410958904109589,-43,29,10899,,,Relegated
22,West Bromwich Albion,42,4,12,26,35,89,0.393258426966292,-54,24,12306,,,Relegated
