Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Tottenham Hotspur,42,25,10,7,82,44,1.864,38,60,,,,League Champions
2,Manchester United,42,24,8,10,74,40,1.850,34,56,,,,
3,Blackpool,42,20,10,12,79,53,1.491,26,50,,,,
4,Newcastle United,42,18,13,11,62,53,1.170,9,49,,,,FA Cup winners
5,Arsenal,42,19,9,14,73,56,1.304,17,47,,"LISHMAN, Doug - 17","SWINDIN, George",
6,Middlesbrough,42,18,11,13,76,65,1.169,11,47,,,,
7,Portsmouth,42,16,15,11,71,68,1.044,3,47,,,,
8,Bolton Wanderers,42,19,7,16,64,61,1.049,3,45,33142,,,
9,Liverpool,42,16,11,15,53,59,0.898,-6,43,,,,
10,Burnley,42,14,14,14,48,43,1.116,5,42,28296,,,
11,Derby County,42,16,8,18,81,75,1.080,6,40,23259,,,
12,Sunderland,42,12,16,14,63,73,0.863,-10,40,,,,
13,Stoke City,42,13,14,15,50,59,0.847,-9,40,,,,
14,Wolverhampton Wanderers,42,15,8,19,74,61,1.213,13,38,39616,,,
15,Aston Villa,42,12,13,17,66,68,0.971,-2,37,38369,"DIXON, Johnny - 15","HINDLE, Jack",
16,West Bromwich Albion,42,13,11,18,53,61,0.869,-8,37,32245,,,
17,Charlton Athletic,42,14,9,19,63,80,0.788,-17,37,,,,
18,Fulham,42,13,11,18,52,68,0.765,-16,37,,,,
19,Huddersfield Town,42,15,6,21,64,92,0.696,-28,36,,,,
20,Chelsea,42,12,8,22,53,65,0.815,-12,32,,,,
21,Sheffield Wednesday,42,12,8,22,64,83,0.771,-19,32,,,,Relegated
22,Everton,42,12,8,22,48,86,0.558,-38,32,42924,,,Relegated
