Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Everton,42,28,6,8,88,43,2.04651162790698,+45,90,32131,,,League Champions and Excluded from the UEFA Champions League
2,Liverpool,42,22,11,9,68,35,1.94285714285714,+33,77,34444,,,Excluded from the UEFA Europa League
3,Tottenham Hotspur,42,23,8,11,78,51,1.52941176470588,+27,77,28930,,,Excluded from the UEFA Europa League
4,Manchester United,42,22,10,10,77,47,1.63829787234043,+30,76,42881,,,Excluded from the UEFA Cup Winners Cup and FA Cup winners
5,Southampton,42,19,11,12,56,47,1.19148936170213,+9,68,,,,Excluded from the UEFA Europa League
6,Chelsea,42,18,12,12,63,48,1.3125,+15,66,23065,,,
7,Arsenal,42,19,9,14,61,49,1.24489795918367,+12,66,31205,,,
8,Sheffield Wednesday,42,17,14,11,58,45,1.28888888888889,+13,65,27774,,,
9,Nottingham Forest,42,19,7,16,56,48,1.16666666666667,+8,64,16781,,,
10,Aston Villa,42,15,11,16,60,60,1,+0,56,18318,,,
11,Watford,42,14,13,15,81,71,1.14084507042254,+10,55,,,,
12,West Bromwich Albion,42,16,7,19,58,62,0.935483870967742,-4,55,14470,,,
13,Luton Town,42,15,9,18,57,61,0.934426229508197,-4,54,10816,,,
14,Newcastle United,42,13,13,16,55,70,0.785714285714286,-15,52,26228,,,
15,Leicester City,42,15,6,21,65,73,0.89041095890411,-8,51,14546,,,
16,West Ham United,42,13,12,17,51,68,0.75,-17,51,18433,,,
17,Ipswich Town,42,13,11,18,46,57,0.807017543859649,-11,50,,,,
18,Coventry City,42,15,5,22,47,64,0.734375,-17,50,,,,
19,Queens Park Rangers,42,13,11,18,53,72,0.736111111111111,-19,50,,,,
20,Norwich City,42,13,10,19,46,64,0.71875,-18,49,,,,Excluded from the UEFA Europa League and Relegated
21,Sunderland,42,10,10,22,40,62,0.645161290322581,-22,40,18347,,,Relegated
22,Stoke City,42,3,8,31,24,91,0.263736263736264,-67,17,10700,,,Relegated
