Clt,Équipe,MJ,V,N,D,BM,BE,GAv,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Qualification or relegation
1,Liverpool,42,22,14,6,73,32,2.28125,+41,80,31974,,,League Champions and Qualification for the UEFA Champions League
2,Southampton,42,22,11,9,66,38,1.73684210526316,+28,77,,,,Qualification for the UEFA Europa League
3,Nottingham Forest,42,22,8,12,76,45,1.68888888888889,+31,74,17698,,,Qualification for the UEFA Europa League
4,Manchester United,42,20,14,8,71,41,1.73170731707317,+30,74,42534,,,Qualification for the UEFA Europa League
5,Queens Park Rangers,42,22,7,13,67,37,1.81081081081081,+30,73,,,,Qualification for the UEFA Europa League
6,Arsenal,42,18,9,15,74,60,1.23333333333333,+14,63,28116,,,
7,Everton,42,16,14,12,44,42,1.04761904761905,+2,62,19288,,,Qualification for the UEFA Cup Winners` Cup and FA Cup winners
8,Tottenham Hotspur,42,17,10,15,64,65,0.984615384615385,-1,61,,,,Qualification for the UEFA Europa League
9,West Ham United,42,17,9,16,60,55,1.09090909090909,+5,60,,,,
10,Aston Villa,42,17,9,16,59,61,0.967213114754098,-2,60,21371,,,
11,Watford,42,16,9,17,68,77,0.883116883116883,-9,57,,,,
12,Ipswich Town,42,15,8,19,55,57,0.964912280701754,-2,53,,,,
13,Sunderland,42,13,13,16,42,53,0.792452830188679,-11,52,16181,,,
14,Norwich City,42,12,15,15,48,49,0.979591836734694,-1,51,,,,
15,Leicester City,42,13,12,17,65,68,0.955882352941176,-3,51,,,,
16,Luton Town,42,14,9,19,53,66,0.803030303030303,-13,51,,,,
17,West Bromwich Albion,42,14,9,19,48,62,0.774193548387097,-14,51,14692,,,
18,Stoke City,42,13,11,18,44,63,0.698412698412698,-19,50,13900,,,
19,Coventry City,42,13,11,18,57,77,0.74025974025974,-20,50,,,,
20,Birmingham City,42,12,12,18,39,50,0.78,-11,48,14106,,,Relegated
21,Notts County,42,10,11,21,50,72,0.694444444444444,-22,41,,,,Relegated
22,Wolverhampton Wanderers,42,6,11,25,27,80,0.3375,-53,29,12478,,,Relegated
