Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Arsenal,38,26,9,3,79,36,+43,87,38055,Thierry Henry - 24,David Seaman,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Liverpool,38,24,8,6,67,30,+37,80,43389,Michael Owen - 19,Jerzy Dudek,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Manchester United,38,24,5,9,87,45,+42,77,67558,Ruud van Nistelrooy - 23,Fabien Barthez,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Newcastle United,38,21,8,9,74,52,+22,71,51373,Alan Shearer - 23,Shay Given,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Leeds United,38,18,12,8,53,37,+16,66,39752,Robbie Fowler - 15,Nigel Martyn,→ UEFA Cup grâce à sa bonne place dans le classement
6,Chelsea,38,17,13,8,66,38,+28,64,39030,Jimmy Floyd Hasselbaink - 23,Carlo Cudicini,→ UEFA Cup grâce à sa défaite en coupe 1
7,West Ham United,38,15,8,15,48,57,-9,53,31570,Frédéric Kanouté - 11,David James,
8,Aston Villa,38,12,14,12,46,47,-1,50,35012,Darius Vassell Juan Pablo Ángel - 12,Peter Schmeichel,→ UEFA Intertoto Cup grâce à sa bonne place dans le classement
9,Tottenham Hotspur,38,14,8,16,49,53,-4,50,35001,Gus Poyet Teddy Sheringham - 10,Neil Sullivan,
10,Blackburn Rovers,38,12,10,16,55,51,+4,46,25973,Andy Cole - 13,Brad Friedel,→ UEFA Cup grâce à sa victoire en coupe 2
11,Southampton,38,12,9,17,46,54,-8,45,30633,Marians Pahars - 14,Paul Jones,
12,Middlesbrough,38,12,9,17,35,47,-12,45,28459,Alen Bokšić - 8,Mark Schwarzer,
13,Fulham,38,10,14,14,36,44,-8,44,19389,Louis Saha Steed Malbranque... - 8,Edwin van der Sar,→ UEFA Intertoto Cup grâce à sa bonne place dans le classement
14,Charlton Athletic,38,10,14,14,38,49,-11,44,24165,Jason Euell - 11,Dean Kiely,
15,Everton,38,11,10,17,45,57,-12,43,33582,Tomasz Radzinski Duncan Ferguson - 6,Steve Simonsen,
16,Bolton Wanderers,38,9,13,16,44,62,-18,40,25098,Michael Ricketts - 12,Jussi Jääskeläinen,
17,Sunderland,38,10,10,18,29,51,-22,40,46744,Kevin Phillips - 11,Thomas Sørensen,
18,Ipswich Town,38,9,9,20,41,64,-23,36,24426,Marcus Bent - 9,Matteo Sereni,Relégué → UEFA Cup 3
19,Derby County,38,8,6,24,33,63,-30,30,29785,Malcolm Christie Fabrizio Ravanelli - 9,Andy Oakes,Relégué
20,Leicester City,38,5,13,20,30,64,-34,28,19835,Brian Deane - 7,Ian Walker,Relégué
