Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester United,38,22,13,3,80,37,+43,79,55188,Dwight Yorke - 18,Peter Schmeichel,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Arsenal,38,22,12,4,59,17,+42,78,38023,Nicolas Anelka - 17,David Seaman,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Chelsea,38,20,15,3,57,30,+27,75,35278,Gianfranco Zola - 13,Ed de Goey,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Leeds United,38,18,13,7,62,34,+28,67,35845,Jimmy Floyd Hasselbaink - 18,Nigel Martyn,→ UEFA Cup grâce à sa bonne place dans le classement
5,West Ham United,38,16,9,13,46,53,-7,57,25684,Ian Wright - 9,Shaka Hislop,→ UEFA Intertoto Cup grâce à sa bonne place dans le classement
6,Aston Villa,38,15,10,13,51,46,+5,55,37039,Julian Joachim - 14,Michael Oakes,
7,Liverpool,38,15,9,14,68,49,+19,54,43321,Michael Owen - 17,David James,
8,Derby County,38,13,13,12,40,45,-5,52,29195,Paulo Wanchope Deon Burton - 9,Russell Hoult,
9,Middlesbrough,38,12,15,11,48,54,-6,51,34389,Hamilton Ricard - 15,Mark Schwarzer,
10,Leicester City,38,12,13,13,40,46,-6,49,20469,Tony Cottee - 10,Kasey Keller,
11,Tottenham Hotspur,38,11,14,13,47,50,-3,47,34153,Steffen Iversen - 9,Ian Walker,→ UEFA Cup grâce à sa victoire en coupe 1
12,Sheffield Wednesday,38,13,7,18,41,42,-1,46,26745,Benito Carbone - 8,Pavel Srníček,
13,Newcastle United,38,11,13,14,48,54,-6,46,36882,Alan Shearer - 14,Shay Given,→ UEFA Cup grâce à sa défaite en coupe 2
14,Everton,38,11,10,17,42,47,-5,43,36203,Kevin Campbell - 9,Thomas Myhre,
15,Coventry City,38,11,9,18,39,51,-12,42,20805,Noel Whelan Darren Huckerby - 9,Magnus Hedman,
16,Wimbledon,38,10,12,16,40,63,-23,42,18237,Marcus Gayle - 10,Neil Sullivan,
17,Southampton,38,11,8,19,37,64,-27,41,15139,Egil Østenstad - 7,Paul Jones,
18,Charlton Athletic,38,8,12,18,41,56,-15,36,19823,Clive Mendonca - 8,Saša Ilić,Relégué
19,Blackburn Rovers,38,7,14,17,38,52,-14,35,25761,Kevin Gallacher Ashley Ward - 5,John Filan,Relégué
20,Nottingham Forest,38,7,9,22,35,69,-34,30,24415,Dougie Freedman - 9,Dave Beasant,Relégué
