Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester United,38,25,8,5,74,34,+40,83,67602,Ruud van Nistelrooy - 25,Fabien Barthez,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Arsenal,38,23,9,6,85,42,+43,78,38042,Thierry Henry - 24,David Seaman,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Newcastle United,38,21,6,11,63,48,+15,69,51923,Alan Shearer - 17,Shay Given,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Chelsea,38,19,10,9,68,38,+30,67,39784,Gianfranco Zola - 14,Carlo Cudicini,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Liverpool,38,18,10,10,61,41,+20,64,43243,Michael Owen - 19,Jerzy Dudek,→ UEFA Cup grâce à sa bonne place dans le classement
6,Blackburn Rovers,38,16,12,10,52,43,+9,60,26226,Damien Duff - 9,Brad Friedel,→ UEFA Cup grâce à sa bonne place dans le classement 1
7,Everton,38,17,8,13,48,49,-1,59,38491,Tomasz Radzinski - 12,Richard Wright,
8,Southampton,38,13,13,12,43,46,-3,52,30680,James Beattie - 23,Antti Niemi,→ UEFA Cup grâce à sa défaite en coupe 2
9,Manchester City,38,15,6,17,47,54,-7,51,34565,Nicolas Anelka - 14,Peter Schmeichel,→ UEFA Cup 3
10,Tottenham Hotspur,38,14,8,16,51,62,-11,50,35897,Robbie Keane - 14,Kasey Keller,
11,Middlesbrough,38,13,10,15,48,44,+4,49,31105,Massimo Maccarone - 9,Mark Schwarzer,
12,Charlton Athletic,38,14,7,17,45,56,-11,49,26256,Jason Euell - 10,Dean Kiely,
13,Birmingham City,38,13,9,16,41,49,-8,48,28831,Clinton Morrison - 6,Nico Vaesen,
14,Fulham,38,13,9,16,41,50,-9,48,16707,Steed Malbranque - 6,Edwin van der Sar,
15,Leeds United,38,14,5,19,58,57,+1,47,39120,Mark Viduka - 20,Paul Robinson,
16,Aston Villa,38,12,9,17,42,47,-5,45,34975,Dion Dublin - 10,Peter Enckelman,
17,Bolton Wanderers,38,10,14,14,41,51,-10,44,25017,Jay-Jay Okocha Henrik Pedersen... - 7,Jussi Jääskeläinen,
18,West Ham United,38,10,12,16,42,59,-17,42,34432,Paolo Di Canio - 9,David James,Relégué
19,West Bromwich Albion,38,6,8,24,29,65,-36,26,26731,Scott Dobie Danny Dichio - 5,Russell Hoult,Relégué
20,Sunderland,38,4,7,27,21,65,-44,19,39698,Kevin Phillips - 6,Thomas Sørensen,Relégué
