Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Chelsea,38,26,9,3,73,32,+41,87,41546,Diego Costa - 20,Thibaut Courtois,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Manchester City,38,24,7,7,83,38,+45,79,45365,Sergio Agüero - 26,Joe Hart,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Arsenal,38,22,9,7,71,36,+35,75,59992,Alexis Sánchez - 16,David Ospina,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Manchester United,38,20,10,8,62,37,+25,70,75335,Wayne Rooney - 12,David de Gea,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Tottenham Hotspur,38,19,7,12,58,53,+5,64,35728,Harry Kane - 21,Hugo Lloris,→ UEFA Europa League grâce à sa bonne place dans le classement
6,Liverpool,38,18,8,12,52,48,+4,62,44659,Steven Gerrard - 9,Simon Mignolet,→ UEFA Europa League grâce à sa bonne place dans le classement 1
7,Southampton,38,18,6,14,54,33,+21,60,30741,Graziano Pellè - 12,Fraser Forster,→ UEFA Europa League grâce à sa bonne place dans le classement 2
8,Swansea City,38,16,8,14,46,49,-3,56,20555,Wilfried Bony - 9,Łukasz Fabiański,
9,Stoke City,38,15,9,14,48,45,+3,54,27081,Mame Biram Diouf - 11,Asmir Begović,
10,Crystal Palace,38,13,9,16,47,51,-4,48,24421,Glenn Murray - 7,Julián Speroni,
11,Everton,38,12,11,15,48,50,-2,47,37406,Romelu Lukaku - 10,Tim Howard,
12,West Ham United,38,12,11,15,44,47,-3,47,34846,Diafra Sakho - 10,Adrián,→ UEFA Europa League 3
13,West Bromwich Albion,38,11,11,16,38,51,-13,44,25064,Saido Berahino - 14,Ben Foster,
14,Leicester City,38,11,8,19,46,55,-9,41,31693,Leonardo Ulloa - 11,Kasper Schmeichel,
15,Newcastle United,38,10,9,19,40,63,-23,39,50359,Papiss Cissé - 11,Tim Krul,
16,Sunderland,38,7,17,14,31,53,-22,38,43157,Steven Fletcher Connor Wickham - 5,Costel Pantilimon,
17,Aston Villa,38,10,8,20,31,57,-26,38,34133,Christian Benteke - 13,Brad Guzan,
18,Hull City,38,8,11,19,33,51,-18,35,23557,Nikica Jelavić - 8,Allan McGregor,Relégué
19,Burnley,38,7,12,19,28,53,-25,33,19131,Danny Ings - 11,Tom Heaton,Relégué
20,Queens Park Rangers,38,8,6,24,42,73,-31,30,17809,Charlie Austin - 18,Robert Green,Relégué
