Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Chelsea,38,29,8,1,72,15,+57,95,41870,Frank Lampard - 13,Petr Čech,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Arsenal,38,25,8,5,87,36,+51,83,37979,Thierry Henry - 25,Jens Lehmann,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Manchester United,38,22,11,5,58,26,+32,77,67871,Wayne Rooney - 11,Roy Carroll,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Everton,38,18,7,13,45,46,-1,61,36834,Tim Cahill - 12,Nigel Martyn,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Liverpool,38,17,7,14,52,41,+11,58,42587,Milan Baroš - 9,Jerzy Dudek,→ UEFA Champions League 1
6,Bolton Wanderers,38,16,10,12,49,44,+5,58,26006,El Hadji Diouf - 9,Jussi Jääskeläinen,→ UEFA Cup grâce à sa bonne place dans le classement 2
7,Middlesbrough,38,14,13,11,53,46,+7,55,32012,Jimmy Floyd Hasselbaink - 13,Mark Schwarzer,→ UEFA Cup grâce à sa bonne place dans le classement 3
8,Manchester City,38,13,13,12,47,39,+8,52,45192,Robbie Fowler / Shaun Wright-Phillips - 10,David James,
9,Tottenham Hotspur,38,14,10,14,47,41,+6,52,35873,Jermain Defoe - 13,Paul Robinson,
10,Aston Villa,38,12,11,15,45,52,-7,47,37354,Nolberto Solano - 8,Thomas Sørensen,
11,Charlton Athletic,38,12,10,16,42,58,-16,46,26401,Shaun Bartlett - 6,Dean Kiely,
12,Birmingham City,38,11,12,15,40,46,-6,45,28760,Emile Heskey - 10,Maik Taylor,
13,Fulham,38,12,8,18,52,60,-8,44,19838,Andy Cole - 12,Edwin van der Sar,
14,Newcastle United,38,10,14,14,47,57,-10,44,51844,Alan Shearer / Craig Bellamy - 7,Shay Given,→ UEFA Intertoto Cup grâce à sa bonne place dans le classement
15,Blackburn Rovers,38,9,15,14,32,43,-11,42,22315,Paul Dickov - 9,Brad Friedel,
16,Portsmouth,38,10,9,19,43,59,-16,39,20072,Yakubu Aiyegbeni - 13,Shaka Hislop,
17,West Bromwich Albion,38,6,16,16,36,61,-25,34,25987,Robert Earnshaw - 11,Russell Hoult,
18,Crystal Palace,38,7,12,19,41,62,-21,33,24108,Andrew Johnson - 21,Gábor Király,Relégué
19,Norwich City,38,7,12,19,42,77,-35,33,24326,Dean Ashton / Leon McKenzie - 7,Robert Green,Relégué
20,Southampton,38,6,14,18,45,66,-21,32,30610,Peter Crouch - 12,Antti Niemi,Relégué
