Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Chelsea,38,29,4,5,72,22,+50,91,41902,Frank Lampard - 16,Petr Čech,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Manchester United,38,25,8,5,72,34,+38,83,68765,Ruud van Nistelrooy - 21,Edwin van der Sar,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Liverpool,38,25,7,6,57,25,+32,82,44236,Steven Gerrard - 10,Pepe Reina,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Arsenal,38,20,7,11,68,31,+37,67,38184,Thierry Henry - 27,Jens Lehmann,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Tottenham Hotspur,38,18,11,9,53,38,+15,65,36074,Robbie Keane - 16,Paul Robinson,→ UEFA Cup grâce à sa bonne place dans le classement
6,Blackburn Rovers,38,19,6,13,51,42,+9,63,21015,Craig Bellamy - 13,Brad Friedel,→ UEFA Cup grâce à sa bonne place dans le classement 1
7,Newcastle United,38,17,7,14,47,42,+5,58,52032,Alan Shearer - 10,Shay Given,→ UEFA Intertoto Cup grâce à sa bonne place dans le classement
8,Bolton Wanderers,38,15,11,12,49,41,+8,56,25455,Stelios Giannakopoulos / Kevin Nolan - 9,Jussi Jääskeläinen,
9,West Ham United,38,16,7,15,52,55,-3,55,33743,Marlon Harewood - 14,Roy Carroll,→ UEFA Cup grâce à sa défaite en coupe 2
10,Wigan Athletic,38,15,6,17,45,52,-7,51,20610,Henri Camara - 12,Mike Pollitt,
11,Everton,38,14,8,16,34,49,-15,50,36860,James Beattie - 10,Nigel Martyn,
12,Fulham,38,14,6,18,48,58,-10,48,20654,Collins John - 11,Tony Warner,
13,Charlton Athletic,38,13,8,17,41,55,-14,47,26196,Darren Bent - 18,Thomas Myhre,
14,Middlesbrough,38,12,9,17,48,58,-10,45,28463,Yakubu Aiyegbeni - 13,Mark Schwarzer,
15,Manchester City,38,13,4,21,43,48,-5,43,42056,Andy Cole - 9,David James,
16,Aston Villa,38,10,12,16,42,55,-13,42,34112,Luke Moore / Milan Baroš - 8,Thomas Sørensen,
17,Portsmouth,38,10,8,20,37,62,-25,38,19840,Lomana LuaLua - 7,Dean Kiely,
18,Birmingham City,38,8,10,20,28,50,-22,34,27392,Jiří Jarošík - 5,Maik Taylor,Relégué
19,West Bromwich Albion,38,7,9,22,31,58,-27,30,25404,Nwankwo Kanu / Nathan Ellington - 5,Tomasz Kuszczak,Relégué
20,Sunderland,38,3,6,29,26,69,-43,15,33904,Tommy Miller / Anthony Le Tallec - 3,Kelvin Davis,Relégué
