Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester United,38,27,6,5,80,22,+58,87,75691,Cristiano Ronaldo - 31,Edwin van der Sar,→ UEFA Champions League grâce à sa victoire en Champions League
2,Chelsea,38,25,10,3,65,26,+39,85,41397,Frank Lampard - 10,Petr Čech,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Arsenal,38,24,11,3,74,31,+43,83,60070,Emmanuel Adebayor - 24,Manuel Almunia,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Liverpool,38,21,13,4,67,28,+39,76,43532,Fernando Torres - 24,Pepe Reina,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Everton,38,19,8,11,55,33,+22,65,36955,Yakubu Aiyegbeni - 15,Tim Howard,→ UEFA Cup grâce à sa bonne place dans le classement
6,Aston Villa,38,16,12,10,71,51,+20,60,40345,John Carew - 13,Scott Carson,→ UEFA Intertoto Cup grâce à sa bonne place dans le classement
7,Blackburn Rovers,38,15,13,10,50,48,+2,58,23944,Roque Santa Cruz - 19,Brad Friedel,
8,Portsmouth,38,16,9,13,48,40,+8,57,19914,Benjani Mwaruwari - 12,David James,→ UEFA Cup grâce à sa victoire en coupe 1
9,Manchester City,38,15,10,13,45,53,-8,55,42126,Elano - 8,Joe Hart,→ UEFA Cup 2
10,West Ham United,38,13,10,15,42,50,-8,49,34601,Dean Ashton - 10,Robert Green,
11,Tottenham Hotspur,38,11,13,14,66,61,+5,46,35967,Robbie Keane Dimitar Berbatov - 15,Paul Robinson,→ UEFA Cup grâce à sa victoire en coupe 3
12,Newcastle United,38,11,10,17,45,65,-20,43,50488,Michael Owen - 11,Steve Harper,
13,Middlesbrough,38,10,12,16,43,53,-10,42,26708,Stewart Downing - 9,Mark Schwarzer,
14,Wigan Athletic,38,10,10,18,34,51,-17,40,19046,Marcus Bent - 7,Chris Kirkland,
15,Sunderland,38,11,6,21,36,59,-23,39,43344,Kenwyne Jones - 7,Craig Gordon,
16,Bolton Wanderers,38,9,10,19,36,54,-18,37,20746,Nicolas Anelka - 10,Jussi Jääskeläinen,
17,Fulham,38,8,12,18,38,60,-22,36,23773,Clint Dempsey - 6,Antti Niemi,
18,Reading,38,10,6,22,41,66,-25,36,23585,Dave Kitson - 10,Marcus Hahnemann,Relégué
19,Birmingham City,38,8,11,19,46,62,-16,35,26181,Mikael Forssell - 9,Maik Taylor,Relégué
20,Derby County,38,1,8,29,20,89,-69,11,32432,Kenny Miller - 4,Stephen Bywater,Relégué
