Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Arsenal,38,26,12,0,73,26,+47,90,38079,Thierry Henry - 30,Jens Lehmann,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Chelsea,38,24,7,7,67,30,+37,79,41234,Jimmy Floyd Hasselbaink - 13,Carlo Cudicini,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Manchester United,38,23,6,9,64,35,+29,75,67641,Ruud van Nistelrooy - 20,Tim Howard,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Liverpool,38,16,12,10,55,37,+18,60,42677,Michael Owen - 16,Jerzy Dudek,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Newcastle United,38,13,17,8,52,40,+12,56,51440,Alan Shearer - 22,Shay Given,→ UEFA Cup grâce à sa bonne place dans le classement
6,Aston Villa,38,15,11,12,48,44,+4,56,36622,Juan Pablo Ángel - 16,Thomas Sørensen,
7,Charlton Athletic,38,14,11,13,51,51,0,53,26293,Jason Euell - 10,Dean Kiely,
8,Bolton Wanderers,38,14,11,13,48,56,-8,53,26795,Kevin Davies Kevin Nolan... - 9,Jussi Jääskeläinen,
9,Fulham,38,14,10,14,52,46,+6,52,16342,Louis Saha - 13,Edwin van der Sar,
10,Birmingham City,38,12,14,12,43,48,-5,50,29073,Mikael Forssell - 17,Maik Taylor,
11,Middlesbrough,38,13,9,16,44,52,-8,48,30418,Szilárd Németh - 9,Mark Schwarzer,→ UEFA Cup grâce à sa victoire en coupe 1
12,Southampton,38,12,11,15,44,45,-1,47,31699,James Beattie - 14,Antti Niemi,
13,Portsmouth,38,12,9,17,47,54,-7,45,20108,Yakubu Aiyegbeni - 16,Shaka Hislop,
14,Tottenham Hotspur,38,13,6,19,47,57,-10,45,34876,Robbie Keane - 14,Kasey Keller,
15,Blackburn Rovers,38,12,8,18,51,59,-8,44,24376,Andy Cole - 11,Brad Friedel,
16,Manchester City,38,9,14,15,55,54,+1,41,46834,Nicolas Anelka - 16,David Seaman,
17,Everton,38,9,12,17,45,57,-12,39,38837,Wayne Rooney - 9,Nigel Martyn,
18,Leicester City,38,6,15,17,48,65,-17,33,30893,Les Ferdinand - 12,Ian Walker,Relégué
19,Leeds United,38,8,9,21,40,79,-39,33,36666,Mark Viduka - 11,Paul Robinson,Relégué
20,Wolverhampton Wanderers,38,7,12,19,38,77,-39,33,28874,Henri Camara - 7,Paul Jones,Relégué
