Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester United,38,28,5,5,86,43,+43,89,75530,Robin van Persie - 26,David de Gea,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Manchester City,38,23,9,6,66,34,+32,78,46974,Edin Džeko - 14,Joe Hart,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Chelsea,38,22,9,7,75,39,+36,75,41462,Frank Lampard - 15,Petr Čech,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Arsenal,38,21,10,7,72,37,+35,73,60079,Theo Walcott - 14,Wojciech Szczęsny,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Tottenham Hotspur,38,21,9,8,66,46,+20,72,36066,Gareth Bale - 21,Hugo Lloris,→ UEFA Europa League grâce à sa bonne place dans le classement
6,Everton,38,16,15,7,55,40,+15,63,36356,Marouane Fellaini - 11,Tim Howard,
7,Liverpool,38,16,13,9,71,43,+28,61,44749,Luis Suárez - 23,Pepe Reina,
8,West Bromwich Albion,38,14,7,17,53,57,-4,49,25202,Romelu Lukaku - 17,Ben Foster,
9,Swansea City,38,11,13,14,47,51,-4,46,20476,Michu - 18,Michel Vorm,→ UEFA Europa League grâce à sa victoire en coupe 1
10,West Ham United,38,12,10,16,45,53,-8,46,34717,Kevin Nolan - 10,Jussi Jääskeläinen,
11,Norwich City,38,10,14,14,41,58,-17,44,26672,Grant Holt - 8,Mark Bunn,
12,Fulham,38,11,10,17,50,60,-10,43,25423,Dimitar Berbatov - 15,Mark Schwarzer,
13,Stoke City,38,9,15,14,34,45,-11,42,26722,Jonathan Walters - 8,Asmir Begović,
14,Southampton,38,9,14,15,49,60,-11,41,30855,Rickie Lambert - 15,Artur Boruc,
15,Aston Villa,38,10,11,17,47,69,-22,41,35060,Christian Benteke - 19,Brad Guzan,
16,Newcastle United,38,11,8,19,45,68,-23,41,50517,Demba Ba - 13,Tim Krul,
17,Sunderland,38,9,12,17,41,54,-13,39,40563,Steven Fletcher - 11,Simon Mignolet,
18,Wigan Athletic,38,9,9,20,47,73,-26,36,19359,Arouna Koné - 11,Ali Al-Habsi,Relégué → UEFA Europa League grâce à sa victoire en coupe 2
19,Reading,38,6,10,22,43,73,-30,28,23862,Adam le Fondre - 12,Adam Federici,Relégué
20,Queens Park Rangers,38,4,13,21,30,60,-30,25,17779,Loïc Rémy - 6,Júlio César,Relégué
