Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester City,38,28,5,5,93,29,+64,89,47045,Sergio Agüero - 23,Joe Hart,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Manchester United,38,28,5,5,89,33,+56,89,75387,Wayne Rooney - 27,David de Gea,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Arsenal,38,21,7,10,74,49,+25,70,60000,Robin van Persie - 30,Wojciech Szczęsny,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Tottenham Hotspur,38,20,9,9,66,41,+25,69,36036,Emmanuel Adebayor - 17,Brad Friedel,→ UEFA Europa League grâce à sa bonne place dans le classement
5,Newcastle United,38,19,8,11,56,51,+5,65,49951,Demba Ba - 16,Tim Krul,→ UEFA Europa League grâce à sa bonne place dans le classement
6,Chelsea,38,18,10,10,65,46,+19,64,41484,Daniel Sturridge Frank Lampard - 11,Petr Čech,→ UEFA Champions League grâce à sa victoire en Champions League
7,Everton,38,15,11,12,50,40,+10,56,33228,Nikica Jelavić - 9,Tim Howard,
8,Liverpool,38,14,10,14,47,40,+7,52,44253,Luis Suárez - 11,Pepe Reina,→ UEFA Europa League grâce à sa victoire en coupe 1
9,Fulham,38,14,10,14,48,51,-3,52,25399,Clint Dempsey - 17,Mark Schwarzer,
10,West Bromwich Albion,38,13,8,17,45,52,-7,47,24770,Peter Odemwingie - 10,Ben Foster,
11,Swansea City,38,12,11,15,44,51,-7,47,19946,Danny Graham - 12,Michel Vorm,
12,Norwich City,38,12,11,15,52,66,-14,47,26606,Grant Holt - 15,John Ruddy,
13,Sunderland,38,11,12,15,45,46,-1,45,39047,Nicklas Bendtner - 8,Simon Mignolet,
14,Stoke City,38,11,12,15,36,53,-17,45,27226,Peter Crouch - 10,Asmir Begović,
15,Wigan Athletic,38,11,10,17,42,62,-20,43,18634,Franco Di Santo - 7,Ali Al-Habsi,
16,Aston Villa,38,7,17,14,37,53,-16,38,33883,Darren Bent - 9,Shay Given,
17,Queens Park Rangers,38,10,7,21,43,66,-23,37,17295,Heiðar Helguson - 8,Paddy Kenny,
18,Bolton Wanderers,38,10,6,22,46,77,-31,36,23670,Ivan Klasnić - 8,Ádám Bogdán,Relégué
19,Blackburn Rovers,38,8,7,23,48,78,-30,31,22551,Yakubu Aiyegbeni - 17,Paul Robinson,Relégué
20,Wolverhampton Wanderers,38,5,10,23,40,82,-42,25,25677,Steven Fletcher - 12,Wayne Hennessey,Relégué
