Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"AITKEN, Andy	Centre ",, , , , ,	
,"BAILEY,",, ,H,o,r,a,c,e,	,G,o,a,l,k,e,e,p,e,r,	
,"BANNISTER, Billy	Centre ",, , , , ,	
,"BLACKETT, Joe	Full ",, , , , ,	
,"BLESSINGTON, Jimmy	Inside ",, , , , , , , ,	
,"DONNELLY,",, ,J,i,m,m,y,	,W,i,n,g,e,r,	
,"DURRANT,",, ,J,i,m,m,y,	,W,i,n,g,e,r,	
,"GARRATY, Billy	Inside ",, , , , , , , ,	
,"GOLDIE, Billy	Wing ",, , , , ,	
,"GORMAN, Jimmy	Centre ",, , , , ,	
,"HEDLEY, George ",    	Full Back
,"HOLDING,",, ,W,i,l,l,i,a,m,	,W,i,n,g,e,r,	
,"HUBBARD, Shirley	Inside ",, , , , , , , ,	
,"KING, Teddy	Wing ",, , , , ,	
,"LEECH, Billy	Wing ",, , , , ,	
,"MACKIE, Bob	Full ",, , , , ,	
,"OWEN,",, ,S,y,d,	,W,i,n,g,e,r,	
,"POLLOCK, Bob	Wing ",, , , , ,	
,"RANDLE, Arthur	Wing ",, , , , ,	
,"SHANKS, Tommy	Inside ",, , , , , , , ,	
,"SHINTON, Fred	Centre ",, , , , , , , ,	
,"SMITH, Wally	Inside ",, , , , , , , ,	
,"STARBUCK,",, ,J,o,n,t,y,	,G,o,a,l,k,e,e,p,e,r,	
,"TURNER,",, ,B,o,b,	,W,i,n,g,e,r,	
,"TURNER, Billy	Inside ",, , , , , , , ,	
,"VINCETT, John	Full ",, , , , ,	
,"WALKER, Davie	Inside ",, , , , , , , ,	
,"WEBSTER, Frank	Centre ",, , , , ,	
,"WEST,",, ,J,a,c,k,	,W,i,n,g,e,r
