Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ANNAN, Archie	Full ",, , , , ,	
,"BROWN, Bobby	Full ",, , , , ,	
,"BURTON, Andy	Inside ",, , , , , , , ,	
,"CLAY,",, ,H,a,r,r,y,	,G,o,a,l,k,e,e,p,e,r,	
,"CLEGG,",, ,J,o,h,n,	,G,o,a,l,k,e,e,p,e,r,	
,"COTTLE, Joe	Full ",, , , , ,	
,"COWELL, Jack	Centre ",, , , , , , , ,	
,"GILLIGAN, Sammy	Centre ",, , , , , , , ,	
,"HANLIN, Pat	Wing ",, , , , ,	
,"HARDY,",, ,B,o,b,	,W,i,n,g,e,r,	
,"HILTON,",, ,F,r,a,n,k,	,W,i,n,g,e,r,	
,"LATHAM, Frank	Centre ",, , , , , , , ,	
,"MARR, Reuben	Wing ",, , , , ,	
,"MAXWELL, Willie	Inside ",, , , , , , , ,	
,"PENMAN, Tom	Centre ",, , , , ,	
,"RADFORD, Thomas	Inside ",, , , , , , , ,	
,"RIPPON, Willis	Centre ",, , , , , , , ,	
,"SPEAR, Arthur	Wing ",, , , , ,	
,"STANIFORTH,",, ,F,r,e,d,	,W,i,n,g,e,r,	
,"WEDLOCK, Billy	Centre ",, , , , ,	
,"YOUNG, Robert	Full ",, , , , ,	
