,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,AT,30,36,35,3136,34.8,22,3,20,2,2,3,1,0.63,0.09,0.72,0.57,0.66,15.8,14.3,2.9,17.2,0.45,0.08,0.54,0.41,0.49,Matchs
David Luiz\c0e27d1a,br BRA,DF,32,33,32,2809,31.2,2,1,2,0,0,5,2,0.06,0.03,0.10,0.06,0.10,1.9,1.9,0.9,2.8,0.06,0.03,0.09,0.06,0.09,Matchs
Bernd Leno\2628fd2b,de GER,GB,27,30,30,2649,29.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Granit Xhaka\e61b8aee,ch SUI,MT,26,31,30,2586,28.7,1,2,1,0,0,10,0,0.03,0.07,0.10,0.03,0.10,0.3,0.3,1.1,1.4,0.01,0.04,0.05,0.01,0.05,Matchs
Nicolas Pépé\57e3f0c7,ci CIV,AT,24,31,22,2010,22.3,5,6,4,1,1,4,0,0.22,0.27,0.49,0.18,0.45,4.5,3.8,4.4,8.2,0.20,0.20,0.40,0.17,0.37,Matchs
Alexandre Lacazette\9dbb75ca,fr FRA,AT,28,30,22,1874,20.8,10,4,10,0,0,8,0,0.48,0.19,0.67,0.48,0.67,8.5,8.5,3.1,11.6,0.41,0.15,0.55,0.41,0.55,Matchs
Bukayo Saka\bc7dc64d,eng ENG,DFAT,17,26,19,1753,19.5,1,5,1,0,0,6,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,3.5,4.9,0.07,0.18,0.25,0.07,0.25,Matchs
Mattéo Guendouzi\5ea8ef20,fr FRA,MT,20,24,19,1748,19.4,0,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.6,0.6,1.2,1.9,0.03,0.06,0.10,0.03,0.10,Matchs
Sead Kolašinac\3935e52e,ba BIH,DF,26,26,19,1701,18.9,0,2,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.7,0.7,1.0,1.7,0.04,0.06,0.09,0.04,0.09,Matchs
Sokratis Papastathopoulos\b682dcf6,gr GRE,DF,31,19,19,1696,18.8,2,0,2,0,0,6,0,0.11,0.00,0.11,0.11,0.11,1.0,1.0,0.2,1.2,0.05,0.01,0.06,0.05,0.06,Matchs
Dani Ceballos\c0617e2b,es ESP,MT,22,24,18,1692,18.8,0,2,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,1.9,2.4,0.03,0.10,0.13,0.03,0.13,Matchs
