,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Martin Dúbravka\3a949a25,sk SVK,GB,30,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Miguel Almirón\862a1c15,py PAR,MTAT,25,36,35,3021,33.6,4,2,4,0,0,5,0,0.12,0.06,0.18,0.12,0.18,6.3,6.3,1.6,7.9,0.19,0.05,0.24,0.19,0.24,Matchs
Joelinton\c17bfb65,br BRA,AT,22,38,32,2683,29.8,2,2,2,0,0,7,0,0.07,0.07,0.13,0.07,0.13,4.8,4.8,2.4,7.2,0.16,0.08,0.24,0.16,0.24,Matchs
Federico Fernández\f25b010f,ar ARG,DF,30,32,29,2620,29.1,2,2,2,0,0,8,0,0.07,0.07,0.14,0.07,0.14,1.7,1.7,0.3,2.0,0.06,0.01,0.07,0.06,0.07,Matchs
Isaac Hayden\c951a6df,eng ENG,MT,24,29,26,2223,24.7,1,2,1,0,0,4,1,0.04,0.08,0.12,0.04,0.12,1.2,1.2,1.6,2.8,0.05,0.06,0.11,0.05,0.11,Matchs
Jonjo Shelvey\3727dd3c,eng ENG,MT,27,26,25,2119,23.5,6,2,6,0,0,3,0,0.25,0.08,0.34,0.25,0.34,2.5,2.5,3.6,6.0,0.10,0.15,0.26,0.10,0.26,Matchs
Jamaal Lascelles\450ab6fc,eng ENG,DF,25,24,24,2076,23.1,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,0.3,0.3,0.1,0.4,0.01,0.01,0.02,0.01,0.02,Matchs
Allan Saint-Maximin\2b16cb1a,fr FRA,MTAT,22,26,23,1863,20.7,3,4,3,0,0,0,0,0.14,0.19,0.34,0.14,0.34,3.2,3.2,3.5,6.7,0.16,0.17,0.33,0.16,0.33,Matchs
Fabian Schär\c8aa95da,ch SUI,DFMT,27,22,18,1672,18.6,2,0,2,0,0,5,0,0.11,0.00,0.11,0.11,0.11,1.1,1.1,0.2,1.2,0.06,0.01,0.07,0.06,0.07,Matchs
Javier Manquillo\758dd7f0,es ESP,DF,25,21,18,1599,17.8,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.4,0.4,0.00,0.02,0.02,0.00,0.02,Matchs
Jetro Willems\9050ddc4,nl NED,DF,25,19,18,1493,16.6,2,2,2,0,0,0,0,0.12,0.12,0.24,0.12,0.24,0.6,0.6,1.2,1.8,0.04,0.07,0.11,0.04,0.11,Matchs
Sean Longstaff\a2b105e0,eng ENG,MT,21,23,14,1378,15.3,1,1,1,0,0,2,1,0.07,0.07,0.13,0.07,0.13,0.9,0.9,1.0,1.9,0.06,0.06,0.13,0.06,0.13,Matchs
Matt Ritchie\71ef519e,sct SCO,DFMT,29,18,14,1315,14.6,2,1,2,0,1,4,0,0.14,0.07,0.21,0.14,0.21,1.6,0.8,2.3,3.1,0.11,0.16,0.26,0.05,0.21,Matchs
Paul Dummett\3fe6bd8c,wls WAL,DF,27,16,14,1228,13.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.01,0.01,0.00,0.01,Matchs
Ciaran Clark\2b91cf8e,ie IRL,DF,29,14,14,1186,13.2,2,0,2,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.3,1.3,0.0,1.3,0.10,0.00,0.10,0.10,0.10,Matchs
Emil Krafth\77cf6852,se SWE,DF,24,17,11,1020,11.3,0,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,0.4,0.7,0.02,0.03,0.06,0.02,0.06,Matchs
DeAndre Yedlin\ae0a7ddf,us USA,DF,26,16,10,938,10.4,1,0,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,0.7,0.7,0.3,1.0,0.07,0.03,0.10,0.07,0.10,Matchs
Danny Rose\89d10e53,eng ENG,DF,29,11,10,863,9.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.02,0.02,0.00,0.02,Matchs
Dwight Gayle\e58a03c6,eng ENG,AT,28,20,10,850,9.4,4,2,4,0,0,2,0,0.42,0.21,0.64,0.42,0.64,4.4,4.4,0.8,5.3,0.47,0.09,0.56,0.47,0.56,Matchs
Nabil Bentaleb\3189f61a,dz ALG,MT,24,12,8,751,8.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.03,0.04,0.01,0.04,Matchs
Christian Atsu\8816329f,gh GHA,ATMT,27,19,6,749,8.3,0,3,0,0,0,2,0,0.00,0.36,0.36,0.00,0.36,0.2,0.2,0.9,1.1,0.02,0.11,0.14,0.02,0.14,Matchs
Matthew Longstaff\c0027d2d,eng ENG,MT,19,9,6,575,6.4,2,0,2,0,0,1,0,0.31,0.00,0.31,0.31,0.31,0.4,0.4,0.2,0.6,0.07,0.03,0.10,0.07,0.10,Matchs
Andy Carroll\b581987a,eng ENG,AT,30,19,4,632,7.0,0,4,0,0,0,1,0,0.00,0.57,0.57,0.00,0.57,0.9,0.9,1.6,2.5,0.13,0.23,0.36,0.13,0.36,Matchs
Valentino Lazaro\016ff750,at AUT,DFMT,23,13,4,480,5.3,1,0,1,0,0,0,1,0.19,0.00,0.19,0.19,0.19,0.5,0.5,0.2,0.7,0.10,0.04,0.14,0.10,0.14,Matchs
Florian Lejeune\6eaed4eb,fr FRA,DF,28,6,4,442,4.9,2,0,2,0,0,0,0,0.41,0.00,0.41,0.41,0.41,0.6,0.6,0.1,0.6,0.12,0.01,0.13,0.12,0.13,Matchs
Yoshinori Mutō\5343eb4e,jp JPN,ATMT,27,8,2,212,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.03,0.06,0.04,0.06,Matchs
Ki Sung-yueng\1d8c99b0,kr KOR,MT,30,3,1,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matchs
Kelland Watts\603e4f0b,eng ENG,DF,19,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Thomas Allan\e95726c1,eng ENG,MT,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Karl Darlow\cde3309f,eng ENG,GB,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Rob Elliot\b1b25949,ie IRL,GB,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Liam Gibson\b51f8aee,eng ENG,DF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Jack Young\ad7cd1fa,eng ENG,MT,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,26.5,38,418,3420,38.0,38,29,38,0,1,66,3,1.00,0.76,1.76,1.00,1.76,33.1,32.3,23.2,55.6,0.87,0.61,1.48,0.85,1.46,
Total adversaire,,,26.5,38,418,3420,38.0,56,38,54,2,2,57,2,1.47,1.00,2.47,1.42,2.42,58.3,56.8,39.8,96.7,1.53,1.05,2.58,1.49,2.54,
