,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Conor Coady\2928dca2,eng ENG,DF,26,38,38,3420,38.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.7,0.7,0.00,0.02,0.02,0.00,0.02,Matchs
Rui Patrício\79b0d6a0,pt POR,GB,31,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Raúl Jiménez\b561db50,mx MEX,AT,28,38,37,3236,36.0,17,6,13,4,4,3,0,0.47,0.17,0.64,0.36,0.53,14.7,11.7,5.6,17.2,0.41,0.15,0.56,0.33,0.48,Matchs
Rúben Neves\44bfb6c5,pt POR,MT,22,38,35,3056,34.0,2,2,2,0,0,9,0,0.06,0.06,0.12,0.06,0.12,1.6,1.6,2.0,3.6,0.05,0.06,0.11,0.05,0.11,Matchs
João Moutinho\f5a00fa4,pt POR,MT,32,38,34,3108,34.5,1,6,1,0,0,7,0,0.03,0.17,0.20,0.03,0.20,0.8,0.8,6.1,6.9,0.02,0.18,0.20,0.02,0.20,Matchs
Jonny Castro\e28868f3,es ESP,DF,25,35,33,2887,32.1,2,2,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,1.3,1.3,0.9,2.2,0.04,0.03,0.07,0.04,0.07,Matchs
Matt Doherty\d557d734,ie IRL,DF,27,36,32,2839,31.5,4,3,4,0,0,1,0,0.13,0.10,0.22,0.13,0.22,5.2,5.2,1.8,6.9,0.16,0.06,0.22,0.16,0.22,Matchs
Leander Dendoncker\5a7301ae,be BEL,MTDF,24,38,32,2795,31.1,4,0,4,0,0,5,0,0.13,0.00,0.13,0.13,0.13,1.6,1.6,0.6,2.1,0.05,0.02,0.07,0.05,0.07,Matchs
Romain Saïss\9fbbcf39,ma MAR,DF,29,33,31,2705,30.1,2,1,2,0,0,12,1,0.07,0.03,0.10,0.07,0.10,2.7,2.7,0.5,3.2,0.09,0.02,0.11,0.09,0.11,Matchs
Adama Traoré\9a28eba4,es ESP,ATMT,23,37,27,2605,28.9,4,9,4,0,0,1,0,0.14,0.31,0.45,0.14,0.45,3.5,3.5,6.7,10.2,0.12,0.23,0.35,0.12,0.35,Matchs
Diogo Jota\178ae8f8,pt POR,ATMT,22,34,27,2284,25.4,7,1,7,0,0,4,0,0.28,0.04,0.32,0.28,0.32,9.6,9.6,3.7,13.4,0.38,0.15,0.53,0.38,0.53,Matchs
Willy Boly\a4ac4b8f,ci CIV,DF,28,22,22,1979,22.0,0,1,0,0,0,3,1,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.3,0.6,0.01,0.02,0.03,0.01,0.03,Matchs
Pedro Neto\7ba2eaa9,pt POR,ATMT,19,29,9,939,10.4,3,3,3,0,0,3,0,0.29,0.29,0.58,0.29,0.58,2.0,2.0,2.3,4.4,0.19,0.22,0.42,0.19,0.42,Matchs
Ryan Bennett\0bad4516,eng ENG,DF,29,11,7,606,6.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matchs
Rúben Vinagre\b937e490,pt POR,DF,20,16,6,652,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.9,0.05,0.07,0.12,0.05,0.12,Matchs
Patrick Cutrone\a4fe8cda,it ITA,AT,21,12,3,297,3.3,2,0,2,0,0,0,0,0.61,0.00,0.61,0.61,0.61,2.4,2.4,0.0,2.4,0.72,0.01,0.73,0.72,0.73,Matchs
Daniel Podence\7fcc71d8,pt POR,ATMT,23,9,3,289,3.2,1,0,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,1.6,1.6,0.4,2.0,0.49,0.13,0.62,0.49,0.62,Matchs
Max Kilman\d0f72bf1,eng ENG,DF,22,3,2,185,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Jesús Vallejo\c2111b45,es ESP,DF,22,2,1,163,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Morgan Gibbs-White\32f60ed8,eng ENG,MTAT,19,7,1,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.07,0.12,0.04,0.12,Matchs
Bruno Jordão\41ff002d,pt POR,AT,20,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Bernard Ashley-Seal\4f187520,eng ENG,AT,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Oskar Buur\aa6f2f2c,dk DEN,DFMT,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Leonardo Campana\bf9c0749,ec ECU,AT,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Luke Cundle\cc3b8e78,eng ENG,MT,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Ryan John Giles\73b1d65b,eng ENG,MT,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Owen Otasowie\6956ff08,us USA,MT,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Taylor Perry\01ba3996,eng ENG,MT,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
John Ruddy\da8b19e2,eng ENG,GB,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,26.6,38,418,3420,38.0,49,34,45,4,4,61,2,1.29,0.89,2.18,1.18,2.08,47.1,44.1,32.3,76.3,1.24,0.85,2.09,1.16,2.01,
Total adversaire,,,26.5,38,418,3420,38.0,39,28,38,1,3,85,5,1.03,0.74,1.76,1.00,1.74,34.8,32.4,24.5,56.9,0.92,0.65,1.56,0.85,1.50,
