,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Aaron Ramsdale\466fb2c5,eng ENG,GB,21,37,37,3330,37.0,0,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matchs
Callum Wilson\c596fcb0,eng ENG,AT,27,35,32,2908,32.3,8,1,8,0,0,10,0,0.25,0.03,0.28,0.25,0.28,10.0,10.0,3.1,13.1,0.31,0.10,0.41,0.31,0.41,Matchs
Jefferson Lerma\9b5ce51a,co COL,MT,24,33,31,2703,30.0,1,2,1,0,0,13,1,0.03,0.07,0.10,0.03,0.10,1.2,1.2,1.8,3.0,0.04,0.06,0.10,0.04,0.10,Matchs
Philip Billing\d328a254,dk DEN,MT,23,34,29,2530,28.1,1,1,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07,2.5,2.5,1.0,3.5,0.09,0.04,0.13,0.09,0.13,Matchs
Nathan Aké\eaeca114,nl NED,DF,24,29,29,2503,27.8,2,2,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14,2.4,2.4,0.6,3.0,0.09,0.02,0.11,0.09,0.11,Matchs
Steve Cook\3e5e4e63,eng ENG,DF,28,29,28,2428,27.0,1,0,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,0.7,0.7,0.3,1.0,0.03,0.01,0.04,0.03,0.04,Matchs
Diego Rico\d9ba39fc,es ESP,DF,26,27,27,2332,25.9,0,4,0,0,0,6,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,2.9,3.2,0.01,0.11,0.12,0.01,0.12,Matchs
Adam Smith\20b104bc,eng ENG,DF,28,24,24,2055,22.8,0,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,1.0,1.5,0.02,0.04,0.07,0.02,0.07,Matchs
Joshua King\43458538,no NOR,ATMT,27,26,24,2011,22.3,6,4,3,3,3,0,0,0.27,0.18,0.45,0.13,0.31,6.6,4.3,3.8,8.1,0.30,0.17,0.47,0.19,0.36,Matchs
Ryan Fraser\d56543a0,sct SCO,MTAT,25,28,21,2067,23.0,1,4,1,0,0,2,0,0.04,0.17,0.22,0.04,0.22,3.3,3.3,4.1,7.3,0.14,0.18,0.32,0.14,0.32,Matchs
Harry Wilson\c6dc9ecd,wls WAL,MTAT,22,31,20,1646,18.3,7,0,7,0,0,2,0,0.38,0.00,0.38,0.38,0.38,4.5,4.5,1.6,6.1,0.25,0.09,0.34,0.25,0.34,Matchs
Dominic Solanke\e77dc3b2,eng ENG,ATMT,21,32,17,1651,18.3,3,1,3,0,0,1,0,0.16,0.05,0.22,0.16,0.22,3.7,3.7,0.9,4.6,0.20,0.05,0.25,0.20,0.25,Matchs
Jack Stacey\558807c0,eng ENG,DF,23,19,17,1549,17.2,0,2,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,2.2,2.5,0.02,0.13,0.14,0.02,0.14,Matchs
Lewis Cook\2afc7272,eng ENG,MT,22,27,14,1352,15.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.0,1.3,0.02,0.06,0.08,0.02,0.08,Matchs
Dan Gosling\7fec31a0,eng ENG,MT,29,24,14,1264,14.0,3,1,3,0,0,3,0,0.21,0.07,0.28,0.21,0.28,2.1,2.1,1.0,3.2,0.15,0.07,0.22,0.15,0.22,Matchs
Simon Francis\1e0b6a73,eng ENG,DF,34,15,10,969,10.8,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.02,0.03,0.04,0.02,0.04,Matchs
Chris Mepham\fed96827,wls WAL,DF,21,12,10,912,10.1,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.7,0.7,0.1,0.7,0.07,0.01,0.07,0.07,0.07,Matchs
David Brooks\dc4cae05,wls WAL,MT,22,9,8,506,5.6,1,0,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,0.8,0.8,0.4,1.2,0.14,0.07,0.21,0.14,0.21,Matchs
Junior Stanislas\6992791d,eng ENG,MTDF,29,15,7,712,7.9,3,0,2,1,1,1,0,0.38,0.00,0.38,0.25,0.25,1.6,0.8,0.8,1.6,0.20,0.10,0.30,0.10,0.20,Matchs
Lloyd Kelly\f31def1e,eng ENG,DF,20,8,7,639,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.02,0.03,0.00,0.03,Matchs
Arnaut Groeneveld\f08490a6,nl NED,MT,22,14,6,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.2,1.2,0.14,0.03,0.18,0.14,0.18,Matchs
Andrew Surman\7d41b619,eng ENG,MT,32,5,2,235,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matchs
Charlie Daniels\9d107085,eng ENG,DF,32,2,2,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matchs
Jack Simpson\76fa5f80,eng ENG,DF,22,4,1,241,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Mark Travers\fe558029,ie IRL,GB,20,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Jordon Ibe\9f736ed2,eng ENG,DF,23,2,0,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Sam Surridge\b017b770,eng ENG,ATMT,21,4,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,1.35,0.00,1.35,1.35,1.35,Matchs
Artur Boruc\34ccf6fa,pl POL,GB,39,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Mihai Dobre\a1f3f5a0,ro ROU,MT,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
