,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Neil Etheridge\2642bf6c,ph PHI,GB,28,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matchs
Bruno Ecuele Manga\72a0fb65,ga GAB,DF,30,38,37,3376,37.5,0,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.8,0.8,0.3,1.0,0.02,0.01,0.03,0.02,0.03,Matchs
Sean Morrison\09fec029,eng ENG,DF,27,34,34,3039,33.8,1,3,1,0,0,6,0,0.03,0.09,0.12,0.03,0.12,3.8,3.8,2.7,6.5,0.11,0.08,0.19,0.11,0.19,Matchs
Víctor Camarasa\b2d03887,es ESP,MT,24,32,31,2569,28.5,5,4,4,1,1,6,0,0.18,0.14,0.32,0.14,0.28,3.4,2.6,3.5,6.1,0.12,0.12,0.24,0.09,0.22,Matchs
Joe Bennett\dc936144,eng ENG,DF,28,30,30,2639,29.3,0,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,0.9,1.5,0.02,0.03,0.05,0.02,0.05,Matchs
Sol Bamba\5534217d,ci CIV,DF,33,28,28,2474,27.5,4,1,4,0,0,7,0,0.15,0.04,0.18,0.15,0.18,2.4,2.4,0.3,2.7,0.09,0.01,0.10,0.09,0.10,Matchs
Aron Gunnarsson\e2533c20,is ISL,MT,29,28,27,2266,25.2,1,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,1.5,1.5,1.3,2.8,0.06,0.05,0.11,0.06,0.11,Matchs
Harry Arter\2f4c5a52,ie IRL,MT,28,25,24,1997,22.2,0,1,0,0,0,10,0,0.00,0.05,0.05,0.00,0.05,1.1,1.1,0.6,1.7,0.05,0.03,0.08,0.05,0.08,Matchs
Junior Hoilett\33af5b9e,ca CAN,MTAT,28,32,23,2141,23.8,3,1,3,0,0,4,0,0.13,0.04,0.17,0.13,0.17,3.1,3.1,1.2,4.3,0.13,0.05,0.18,0.13,0.18,Matchs
Joe Ralls\3730fcbc,eng ENG,MT,24,28,22,1959,21.8,0,0,0,0,1,4,1,0.00,0.00,0.00,0.00,0.00,1.5,0.7,2.0,2.7,0.07,0.09,0.16,0.03,0.13,Matchs
Josh Murphy\b30c7426,eng ENG,MTAT,23,29,22,1817,20.2,3,2,3,0,0,2,0,0.15,0.10,0.25,0.15,0.25,3.1,3.1,3.0,6.2,0.16,0.15,0.31,0.16,0.31,Matchs
Callum Paterson\d2583bce,sct SCO,ATMT,23,27,21,1998,22.2,4,1,4,0,0,4,0,0.18,0.05,0.23,0.18,0.23,5.2,5.2,2.0,7.2,0.23,0.09,0.32,0.23,0.32,Matchs
Lee Peltier\af341b88,eng ENG,DF,31,20,17,1544,17.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.01,0.00,0.01,Matchs
Bobby Reid\0f7533cd,jm JAM,MTAT,25,27,16,1424,15.8,5,2,4,1,1,0,0,0.32,0.13,0.44,0.25,0.38,4.6,3.8,1.1,4.9,0.29,0.07,0.36,0.24,0.31,Matchs
Oumar Niasse\af721f98,sn SEN,AT,28,13,12,931,10.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,2.9,2.9,0.4,3.3,0.28,0.04,0.32,0.28,0.32,Matchs
Nathaniel Mendez-Laing\b4b2f632,eng ENG,MTAT,26,20,11,985,10.9,4,1,3,1,1,0,0,0.37,0.09,0.46,0.27,0.37,2.8,2.1,1.4,3.5,0.26,0.13,0.39,0.19,0.32,Matchs
Kenneth Zohore\5e508d0d,dk DEN,AT,24,19,7,753,8.4,1,1,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,1.8,1.8,1.1,2.9,0.22,0.13,0.35,0.22,0.35,Matchs
Greg Cunningham\dc10b26c,ie IRL,DF,27,7,7,630,7.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.02,0.03,0.00,0.03,Matchs
Leandro Bacuna\9dc69d38,cw CUW,MTDF,26,11,4,561,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.02,0.01,0.02,Matchs
Danny Ward\cfb29823,eng ENG,AT,26,14,4,445,4.9,1,0,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,0.6,0.6,0.3,0.9,0.13,0.05,0.19,0.13,0.19,Matchs
Kadeem Harris\24396398,eng ENG,MTAT,25,13,3,375,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,1.1,1.1,0.3,1.4,0.26,0.08,0.34,0.26,0.34,Matchs
Jazz Richards\afef14da,wls WAL,DFMT,27,4,0,132,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Rhys Healey\07ace8c3,wls WAL,MTAT,23,3,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matchs
