Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Everton (C),42,26,8,8,76,31,45,86,Excluded from the European Cup[3]
2,Liverpool,42,23,8,11,72,42,30,77,Excluded from the UEFA Cup[4]
3,Tottenham Hotspur,42,21,8,13,68,43,25,71,
4,Arsenal[a],42,20,10,12,58,35,23,70,
5,Norwich City,42,17,17,8,53,51,2,68,
6,Wimbledon,42,19,9,14,57,50,7,66,
7,Luton Town,42,18,12,12,47,45,2,66,
8,Nottingham Forest,42,18,11,13,64,51,13,65,
9,Watford,42,18,9,15,67,54,13,63,
10,Coventry City[b],42,17,12,13,50,45,5,63,Excluded from the European Cup Winners' Cup[5]
11,Manchester United,42,14,14,14,52,45,7,56,
12,Southampton,42,14,10,18,69,68,1,52,
13,Sheffield Wednesday,42,13,13,16,58,59,?1,52,
14,Chelsea,42,13,13,16,53,64,?11,52,
15,West Ham United,42,14,10,18,52,67,?15,52,
16,Queens Park Rangers,42,13,11,18,48,64,?16,50,
17,Newcastle United,42,12,11,19,47,65,?18,47,
18,Oxford United,42,11,13,18,44,69,?25,46,
19,Charlton Athletic (O),42,11,11,20,45,55,?10,44,Qualification for the Second Division play-offs
20,Leicester City (R),42,11,9,22,54,76,?22,42,Relegation to the Second Division
21,Manchester City (R),42,8,15,19,36,57,?21,39,
22,Aston Villa (R),42,8,12,22,45,79,?34,36,
