Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Arsenal,42,15,4,2,45,19,10,5,6,30,28,1.596,59,League Champions
2,Huddersfield Town,42,16,3,2,53,19,7,7,7,37,42,1.475,56,
3,Tottenham Hotspur,42,14,3,4,51,24,7,4,10,28,32,1.411,49,
4,Derby County,42,11,8,2,45,22,6,3,12,23,32,1.259,45,
5,Manchester City,42,14,4,3,50,29,3,7,11,15,43,0.903,45,FA Cup Winners
6,Sunderland,42,14,6,1,57,17,2,6,13,24,39,1.446,44,
7,West Bromwich Albion,42,12,4,5,49,28,5,6,10,29,42,1.114,44,
8,Blackburn Rovers,42,16,5,0,57,21,2,2,17,17,60,0.914,43,
9,Leeds United,42,13,5,3,52,21,4,3,14,23,45,1.136,42,
10,Portsmouth,42,11,5,5,31,21,4,7,10,21,34,0.945,42,
11,Sheffield Wednesday,42,9,5,7,33,24,7,4,10,29,43,0.925,41,
12,Stoke City,42,11,5,5,33,19,4,6,11,25,52,0.817,41,
13,Aston Villa,42,10,5,6,45,34,4,7,10,33,41,1.040,40,
14,Everton,42,9,7,5,38,27,3,9,9,24,36,0.984,40,
15,Wolverhampton Wanderers,42,13,4,4,50,28,1,8,12,24,58,0.860,40,
16,Middlesbrough,42,13,3,5,51,27,3,4,14,17,53,0.850,39,
17,Leicester City,42,10,6,5,36,26,4,5,12,23,48,0.797,39,
18,Liverpool,42,10,6,5,52,37,4,4,13,27,50,0.908,38,
19,Chelsea,42,12,3,6,44,24,2,5,14,23,45,0.971,36,
20,Birmingham,42,8,6,7,29,20,4,6,11,25,36,0.964,36,
21,Newcastle United,42,6,11,4,42,29,4,3,14,26,48,0.883,34,Relegated
22,Sheffield United,42,11,5,5,40,25,1,2,18,18,76,0.574,31,
