Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Arsenal (C),42,14,5,2,67,27,14,5,2,60,32,2.153,66,League Champions
2,Aston Villa,42,17,3,1,86,34,8,6,7,42,44,1.641,59,
3,Sheffield Wednesday,42,14,3,4,65,32,8,5,8,37,43,1.360,52,
4,Portsmouth,42,11,7,3,46,26,7,6,8,38,41,1.254,49,
5,Huddersfield Town,42,10,8,3,45,27,8,4,9,36,38,1.246,48,
6,Derby County,42,12,6,3,56,31,6,4,11,38,48,1.190,46,
7,Middlesbrough,42,13,5,3,57,28,6,3,12,41,62,1.089,46,
8,Manchester City,42,13,2,6,41,29,5,8,8,34,41,1.071,46,
9,Liverpool,42,11,6,4,48,28,4,6,11,38,57,1.012,42,
10,Blackburn Rovers,42,14,3,4,54,28,3,5,13,29,56,0.988,42,
11,Sunderland,42,12,4,5,61,38,4,5,12,28,47,1.047,41,
12,Chelsea,42,13,4,4,42,19,2,6,13,22,48,0.955,40,
13,Grimsby Town,42,13,2,6,55,31,4,3,14,27,56,0.943,39,
14,Bolton Wanderers,42,12,6,3,45,26,3,3,15,23,55,0.840,39,
15,Sheffield United,42,10,7,4,49,31,4,3,14,29,53,0.929,38,
16,Leicester City,42,12,4,5,50,38,4,2,15,30,57,0.842,38,
17,Newcastle United,42,9,2,10,41,45,6,4,11,37,42,0.897,36,
18,West Ham United,42,11,3,7,56,44,3,5,13,23,50,0.840,36,
19,Birmingham,42,11,3,7,37,28,2,7,12,18,42,0.786,36,
20,Blackpool,42,8,7,6,41,44,3,3,15,30,81,0.568,32,
21,Leeds United (R),42,10,3,8,49,31,2,4,15,19,50,0.840,31,Relegated
22,Manchester United (R),42,6,6,9,30,37,1,2,18,23,78,0.461,22,
