Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1,Arsenal (C),38,22,10,6,73,36,37,76,Excluded from the European Cup[5]
2,Liverpool[a],38,22,10,6,65,28,37,76,Excluded from the European Cup Winners' Cup[5]
3,Nottingham Forest[b],38,17,13,8,64,43,21,64,Excluded from the UEFA Cup[5]
4,Norwich City,38,17,11,10,48,45,3,62,
5,Derby County,38,17,7,14,40,38,2,58,
6,Tottenham Hotspur,38,15,12,11,60,46,14,57,
7,Coventry City,38,14,13,11,47,42,5,55,
8,Everton,38,14,12,12,50,45,5,54,
9,Queens Park Rangers,38,14,11,13,43,37,6,53,
10,Millwall,38,14,11,13,47,52,?5,53,
11,Manchester United,38,13,12,13,45,35,10,51,
12,Wimbledon,38,14,9,15,50,46,4,51,
13,Southampton,38,10,15,13,52,66,?14,45,
14,Charlton Athletic,38,10,12,16,44,58,?14,42,
15,Sheffield Wednesday,38,10,12,16,34,51,?17,42,
16,Luton Town,38,10,11,17,42,52,?10,41,
17,Aston Villa,38,9,13,16,45,56,?11,40,
18,Middlesbrough (R),38,9,12,17,44,61,?17,39,Relegation to the Second Division
19,West Ham United (R),38,10,8,20,37,62,?25,38,
20,Newcastle United (R),38,7,10,21,32,63,?31,31,
