Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Liverpool,42,15,4,2,43,15,7,9,5,20,21,1.750,57,League Champions
2,Tottenham Hotspur,42,15,3,3,43,17,6,6,9,22,22,1.667,51,
3,Burnley,42,16,3,2,49,18,6,2,13,23,36,1.333,49,
4,Cardiff City,42,13,2,6,40,26,6,8,7,21,27,1.151,48,Welsh Cup winners
5,Aston Villa,42,16,3,2,50,19,6,0,15,24,36,1.345,47,
6,Bolton Wanderers,42,12,4,5,40,24,8,3,10,28,35,1.153,47,
7,Newcastle United,42,11,5,5,36,19,7,5,9,23,26,1.311,46,
8,Middlesbrough,42,12,6,3,46,19,4,8,9,33,50,1.145,46,
9,Chelsea,42,9,6,6,17,16,8,6,7,23,27,0.930,46,
10,Manchester City,42,13,7,1,44,21,5,2,14,21,49,0.929,45,
11,Sheffield United,42,11,3,7,32,17,4,7,10,27,37,1.093,40,
12,Sunderland,42,13,4,4,46,23,3,4,14,14,39,0.968,40,
13,West Bromwich Albion,42,8,6,7,26,23,7,4,10,25,40,0.810,40,
14,Huddersfield Town,42,12,3,6,33,14,3,6,12,20,40,0.981,39,FA Cup Winners
15,Blackburn Rovers,42,7,6,8,35,31,6,6,9,19,26,0.947,38,
16,Preston North End,42,12,7,2,33,20,1,5,15,9,45,0.646,38,
17,Arsenal,42,10,6,5,27,19,5,1,15,20,37,0.839,37,
18,Birmingham,42,9,2,10,25,29,6,5,10,23,31,0.800,37,
19,Oldham Athletic,42,8,7,6,21,15,5,4,12,17,35,0.760,37,
20,Everton,42,10,7,4,42,22,2,5,14,15,33,1.036,36,
21,Bradford City,42,8,5,8,28,30,3,5,13,20,42,0.667,32,Relegated
22,Manchester United,42,7,7,7,25,26,1,5,15,16,47,0.562,28,
