Pos,Team,Pld,HW,HD,HL,HGF,HGA,AW,AD,AL,AGF,AGA,GAv,Pts,Qualification or relegation
1,Liverpool,42,17,3,1,50,13,9,5,7,20,18,2.258,60,League Champions
2,Sunderland,42,15,5,1,50,25,7,5,9,22,29,1.333,54,
3,Huddersfield Town,42,14,2,5,35,15,7,9,5,25,17,1.875,53,
4,Newcastle United,42,13,6,2,31,11,5,6,10,14,26,1.216,48,
5,Everton,42,14,4,3,41,20,6,3,12,22,39,1.068,47,
6,Aston Villa,42,15,3,3,42,11,3,7,11,22,40,1.255,46,
7,West Bromwich Albion,42,12,7,2,38,10,5,4,12,20,39,1.184,45,
8,Manchester City,42,14,6,1,38,16,3,5,13,12,33,1.020,45,
9,Cardiff City,42,15,2,4,51,18,3,5,13,22,41,1.237,43,Welsh Cup winners
10,Sheffield United,42,11,7,3,41,20,5,3,13,27,44,1.063,42,
11,Arsenal,42,13,4,4,38,16,3,6,12,23,46,0.984,42,
12,Tottenham Hotspur,42,11,3,7,34,22,6,4,11,16,28,1.000,41,
13,Bolton Wanderers,42,11,8,2,36,17,3,4,14,14,41,0.862,40,FA Cup Winners
14,Blackburn Rovers,42,12,7,2,32,19,2,5,14,15,43,0.758,40,
15,Burnley,42,12,3,6,39,24,4,3,14,19,35,0.983,38,
16,Preston North End,42,12,3,6,41,26,1,8,12,19,38,0.938,37,
17,Birmingham,42,10,4,7,25,19,3,7,11,16,38,0.719,37,
18,Middlesbrough,42,11,4,6,41,25,2,6,13,16,38,0.905,36,
19,Chelsea,42,5,13,3,29,20,4,5,12,16,33,0.849,36,
20,Nottingham Forest,42,12,2,7,25,23,1,6,14,16,47,0.586,34,
21,Stoke,42,7,9,5,28,19,3,1,17,19,48,0.701,30,Relegated
22,Oldham Athletic,42,9,6,6,21,20,1,4,16,14,45,0.538,30,
