,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Joe Allen\9feb8f24,wls WAL,MT,27,36,36,3139,34.9,2,6,2,0,0,8,0,0.06,0.17,0.23,0.06,0.23,2.0,2.0,2.7,4.7,0.06,0.08,0.13,0.06,0.13,Matchs
Xherdan Shaqiri\6421ec64,ch SUI,ATMT,25,36,36,3039,33.8,8,7,8,0,1,5,0,0.24,0.21,0.44,0.24,0.44,5.7,5.0,7.0,12.0,0.17,0.21,0.38,0.15,0.36,Matchs
Jack Butland\cc70a1d5,eng ENG,GB,24,35,35,3150,35.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Kurt Zouma\ce4246f5,fr FRA,DF,22,34,32,2888,32.1,1,0,1,0,0,1,0,0.03,0.00,0.03,0.03,0.03,1.1,1.1,0.4,1.5,0.03,0.01,0.05,0.03,0.05,Matchs
Erik Pieters\1ef37668,nl NED,DF,28,31,30,2718,30.2,0,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,0.1,0.1,1.4,1.5,0.00,0.05,0.05,0.00,0.05,Matchs
Mame Biram Diouf\7f4f3e49,sn SEN,ATDF,29,35,30,2596,28.8,6,2,6,0,0,6,0,0.21,0.07,0.28,0.21,0.28,7.3,7.3,1.6,8.9,0.25,0.06,0.31,0.25,0.31,Matchs
Ryan Shawcross\285a3d44,eng ENG,DF,29,27,27,2371,26.3,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,3.2,3.2,0.1,3.3,0.12,0.00,0.13,0.12,0.13,Matchs
Eric Maxim Choupo-Moting\0e6bc38c,cm CMR,ATMT,28,30,26,2314,25.7,5,5,5,0,0,3,0,0.19,0.19,0.39,0.19,0.39,5.8,5.8,2.6,8.4,0.23,0.10,0.34,0.23,0.34,Matchs
Darren Fletcher\184e4970,sct SCO,MT,33,27,25,2219,24.7,1,1,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,0.3,0.3,1.2,1.4,0.01,0.05,0.06,0.01,0.06,Matchs
Geoff Cameron\1a160ea3,us USA,DFMT,32,20,17,1525,16.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.01,0.01,0.02,0.01,0.02,Matchs
Moritz Bauer\cfe6238d,at AUT,DFMT,25,15,15,1306,14.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.0,1.3,0.02,0.07,0.09,0.02,0.09,Matchs
Peter Crouch\73d9bdc7,eng ENG,AT,36,31,14,1567,17.4,5,2,5,0,0,4,0,0.29,0.11,0.40,0.29,0.40,4.1,4.1,2.9,6.9,0.23,0.16,0.40,0.23,0.40,Matchs
Kevin Wimmer\faf55ce4,at AUT,DF,24,17,14,1323,14.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.01,0.00,0.01,Matchs
Bruno Martins Indi\7bc34048,nl NED,DF,25,17,14,1243,13.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05,Matchs
Badou Ndiaye\960acc0a,sn SEN,MT,26,13,13,1138,12.6,2,1,2,0,0,5,0,0.16,0.08,0.24,0.16,0.24,1.2,1.2,0.3,1.4,0.09,0.02,0.11,0.09,0.11,Matchs
Ramadan Sobhi\98be0d02,eg EGY,ATMT,20,24,12,1238,13.8,2,0,2,0,0,2,0,0.15,0.00,0.15,0.15,0.15,1.7,1.7,1.2,2.9,0.13,0.08,0.21,0.13,0.21,Matchs
Jesé\4a537185,es ESP,ATMT,24,13,8,614,6.8,1,1,1,0,0,0,0,0.15,0.15,0.29,0.15,0.29,1.0,1.0,1.0,2.0,0.15,0.15,0.30,0.15,0.30,Matchs
Glen Johnson\8cceca90,eng ENG,DF,32,9,7,547,6.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.02,0.06,0.08,0.02,0.08,Matchs
Tom Edwards\1b780599,eng ENG,DF,18,6,6,481,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Charlie Adam\aff418dc,sct SCO,MT,31,11,5,411,4.6,0,0,0,0,1,2,1,0.00,0.00,0.00,0.00,0.00,1.2,0.4,1.1,1.5,0.26,0.24,0.50,0.10,0.33,Matchs
Kostas Stafylidis\861e0116,gr GRE,DFMT,23,5,4,335,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matchs
Saido Berahino\25b166d0,bi BDI,AT,23,15,3,494,5.5,0,1,0,0,1,0,0,0.00,0.18,0.18,0.00,0.18,1.7,0.9,0.5,1.5,0.31,0.10,0.41,0.17,0.27,Matchs
Lee Grant\9dab6e3b,eng ENG,GB,34,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Josh Tymon\efe6f6ac,eng ENG,DF,18,3,2,163,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Ibrahim Afellay\9a8c6673,nl NED,MT,31,6,1,166,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Stephen Ireland\bcf30f17,ie IRL,MT,30,4,1,131,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.28,0.02,0.30,0.28,0.30,Matchs
Lasse Sørensen\ce9c203e,dk DEN,MT,17,1,1,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.22,0.22,0.00,0.22,Matchs
Bojan Krkić\9fa0a0b8,es ESP,AT,26,1,1,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matchs
Tyrese Campbell\38aefb74,eng ENG,AT,17,4,0,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.19,0.00,0.19,0.19,0.19,Matchs
Julien Ngoy\87449a74,be BEL,MT,19,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Jakob Haugaard\142741bb,dk DEN,GB,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Harry Souttar\0a6cb1b1,au AUS,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,27.5,38,418,3420,38.0,34,28,34,0,3,,,0.89,0.74,1.63,0.89,1.63,37.5,35.3,25.8,61.1,0.99,0.68,1.67,0.93,1.61,
Total adversaire,,,26.9,38,418,3420,38.0,66,49,61,5,5,49,0,1.74,1.29,3.03,1.61,2.89,63.8,60.0,44.5,104.5,1.68,1.17,2.85,1.58,2.75,
