,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Christian Eriksen\980522ec,dk DEN,MTAT,25,37,37,3218,35.8,10,10,10,0,0,0,0,0.28,0.28,0.56,0.28,0.56,6.9,6.9,12.4,19.3,0.19,0.35,0.54,0.19,0.54,Matchs
Hugo Lloris\8f62b6ee,fr FRA,GB,30,36,36,3240,36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Jan Vertonghen\ba23a904,be BEL,DF,30,36,36,3203,35.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.9,2.0,0.03,0.02,0.06,0.03,0.06,Matchs
Harry Kane\21a66f6a,eng ENG,AT,24,37,35,3076,34.2,30,2,28,2,3,5,0,0.88,0.06,0.94,0.82,0.88,25.7,23.4,2.8,26.3,0.75,0.08,0.84,0.69,0.77,Matchs
Dele Alli\cea4ee8f,eng ENG,MTAT,21,36,34,2958,32.9,9,10,9,0,0,7,0,0.27,0.30,0.58,0.27,0.58,8.8,8.8,7.9,16.7,0.27,0.24,0.51,0.27,0.51,Matchs
Eric Dier\ac861941,eng ENG,MTDF,23,34,32,2824,31.4,0,2,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,2.0,2.0,1.4,3.4,0.06,0.05,0.11,0.06,0.11,Matchs
Davinson Sánchez\da7b447d,co COL,DF,21,31,29,2534,28.2,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.02,0.00,0.03,0.02,0.03,Matchs
Son Heung-min\92e7e919,kr KOR,ATMT,25,37,27,2317,25.7,12,6,12,0,0,0,0,0.47,0.23,0.70,0.47,0.70,10.4,10.4,4.8,15.2,0.41,0.19,0.59,0.41,0.59,Matchs
Ben Davies\44781702,wls WAL,DF,24,29,26,2324,25.8,2,6,2,0,0,3,0,0.08,0.23,0.31,0.08,0.31,1.1,1.1,3.5,4.6,0.04,0.13,0.18,0.04,0.18,Matchs
Kieran Trippier\21512407,eng ENG,DF,26,24,21,1914,21.3,0,5,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,0.3,0.3,3.5,3.8,0.01,0.16,0.18,0.01,0.18,Matchs
Mousa Dembélé\f7ee69fb,be BEL,MT,30,28,21,1879,20.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.8,1.2,0.02,0.04,0.06,0.02,0.06,Matchs
Serge Aurier\5c2b4f07,ci CIV,DF,24,17,16,1429,15.9,2,2,2,0,0,2,2,0.13,0.13,0.25,0.13,0.25,0.7,0.7,1.9,2.7,0.05,0.12,0.17,0.05,0.17,Matchs
Moussa Sissoko\2acd49b9,fr FRA,MTAT,27,32,15,1386,15.4,1,1,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,3.4,3.4,2.6,5.9,0.22,0.17,0.38,0.22,0.38,Matchs
Toby Alderweireld\f7d50789,be BEL,DF,28,14,13,1178,13.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.03,0.02,0.05,0.03,0.05,Matchs
Danny Rose\89d10e53,eng ENG,DF,27,10,9,800,8.9,0,1,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.8,0.8,0.8,1.6,0.09,0.09,0.18,0.09,0.18,Matchs
Harry Winks\2f7acede,eng ENG,MT,21,16,9,774,8.6,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,0.1,0.1,0.7,0.8,0.01,0.08,0.10,0.01,0.10,Matchs
Victor Wanyama\e0900238,ke KEN,MT,26,18,8,846,9.4,1,0,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,0.4,0.4,0.1,0.5,0.04,0.01,0.06,0.04,0.06,Matchs
Érik Lamela\abe66106,ar ARG,ATMT,25,25,7,843,9.4,2,2,2,0,0,4,0,0.21,0.21,0.43,0.21,0.43,3.6,3.6,1.6,5.1,0.38,0.17,0.55,0.38,0.55,Matchs
Lucas Moura\2b622f01,br BRA,ATMT,24,6,2,210,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,0.2,0.2,0.2,0.3,0.07,0.08,0.15,0.07,0.15,Matchs
Kyle Walker-Peters\984a5a64,eng ENG,DF,20,3,2,189,2.1,0,2,0,0,0,0,0,0.00,0.95,0.95,0.00,0.95,0.0,0.0,1.5,1.5,0.00,0.73,0.73,0.00,0.73,Matchs
Fernando Llorente\82dbf623,es ESP,AT,32,16,1,238,2.6,1,0,1,0,0,1,0,0.38,0.00,0.38,0.38,0.38,0.9,0.9,0.5,1.3,0.33,0.18,0.51,0.33,0.51,Matchs
Paulo Gazzaniga\63d17038,ar ARG,GB,25,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Michel Vorm\1bebde9d,nl NED,GB,33,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Vincent Janssen\31dce0c8,nl NED,DF,23,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Georges-Kévin N'Koudou\76c131da,fr FRA,MT,22,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,,,,,,Matchs
Cameron Carter-Vickers\88ced02c,us USA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Juan Foyth\6c7762c3,ar ARG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Tashan Oakley-Boothe\d73892ac,eng ENG,MT,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Kazaiah Sterling\230255f5,eng ENG,AT,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Alfie Whiteman\3f2587ee,eng ENG,GB,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Kevin Wimmer\faf55ce4,at AUT,DF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,25.8,38,418,3420,38.0,70,51,68,2,3,,,1.84,1.34,3.18,1.79,3.13,67.3,65.0,48.0,113.0,1.77,1.26,3.03,1.71,2.97,
Total adversaire,,,26.9,38,418,3420,38.0,35,22,33,2,3,75,1,0.92,0.58,1.50,0.87,1.45,35.0,32.7,23.0,55.6,0.92,0.60,1.53,0.86,1.46,
