,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Asmir Begović\7b4de647,ba BIH,GB,30,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Nathan Aké\eaeca114,nl NED,DF,22,38,37,3353,37.3,2,3,2,0,0,5,0,0.05,0.08,0.13,0.05,0.13,2.4,2.4,1.9,4.3,0.07,0.05,0.12,0.07,0.12,Matchs
Charlie Daniels\9d107085,eng ENG,DF,30,35,34,3002,33.4,1,3,1,0,0,0,0,0.03,0.09,0.12,0.03,0.12,0.5,0.5,2.9,3.3,0.01,0.09,0.10,0.01,0.10,Matchs
Steve Cook\3e5e4e63,eng ENG,DF,26,34,31,2767,30.7,2,1,2,0,0,5,0,0.07,0.03,0.10,0.07,0.10,1.8,1.8,0.3,2.1,0.06,0.01,0.07,0.06,0.07,Matchs
Simon Francis\1e0b6a73,eng ENG,DF,32,32,31,2705,30.1,0,1,0,0,0,9,2,0.00,0.03,0.03,0.00,0.03,0.4,0.4,2.3,2.7,0.01,0.08,0.09,0.01,0.09,Matchs
Joshua King\43458538,no NOR,MTAT,25,33,27,2453,27.3,8,3,6,2,2,3,0,0.29,0.11,0.40,0.22,0.33,7.4,5.8,5.0,10.8,0.27,0.18,0.45,0.21,0.40,Matchs
Lewis Cook\2afc7272,eng ENG,MT,20,29,25,2237,24.9,0,2,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,1.3,1.8,0.02,0.05,0.07,0.02,0.07,Matchs
Ryan Fraser\d56543a0,sct SCO,MTDF,23,26,23,2004,22.3,5,3,5,0,0,0,0,0.22,0.13,0.36,0.22,0.36,2.1,2.1,3.8,5.9,0.09,0.17,0.26,0.09,0.26,Matchs
Callum Wilson\c596fcb0,eng ENG,AT,25,28,23,1981,22.0,8,2,8,0,0,0,0,0.36,0.09,0.45,0.36,0.45,8.5,8.5,2.0,10.5,0.39,0.09,0.48,0.39,0.48,Matchs
Adam Smith\20b104bc,eng ENG,DFMT,26,27,22,2071,23.0,1,3,1,0,0,6,0,0.04,0.13,0.17,0.04,0.17,0.5,0.5,1.3,1.8,0.02,0.06,0.08,0.02,0.08,Matchs
Jordon Ibe\9f736ed2,eng ENG,MTAT,21,32,22,1995,22.2,2,6,2,0,0,1,0,0.09,0.27,0.36,0.09,0.36,3.3,3.3,3.7,7.0,0.15,0.17,0.32,0.15,0.32,Matchs
