,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Rekeem Harper\3c066877,eng ENG,MT,17,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.27,0.27,0.00,0.27,Matchs
Nathan Ferguson\2f8d27bc,eng ENG,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Ali Gabr\10331f88,eg EGY,DF,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Kyle Jameson\3e61e488,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Jonathan Leko\76b5cbbd,eng ENG,ATMT,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Max Melbourne\7ad65188,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Alex Palmer\6ea97fd5,eng ENG,GB,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Rayhaan Tulloch\bddd8ba3,eng ENG,MT,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Kane Wilson\a3f1897f,eng ENG,DFMT,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,29.1,38,418,3420,38.0,31,24,30,1,1,,,0.82,0.63,1.45,0.79,1.42,34.4,33.7,23.3,56.9,0.91,0.61,1.52,0.89,1.50,
Total adversaire,,,26.9,38,418,3420,38.0,54,44,53,1,1,56,1,1.42,1.16,2.58,1.39,2.55,48.5,47.7,36.4,84.1,1.28,0.96,2.23,1.26,2.21,
